"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia GRAU (000)",23324,1290,6698,3479,2921,2709,2159,1594,2474
"Quechua (001)",18958,800,4791,2699,2416,2384,1982,1510,2376
"Aymara (002)",52,2,6,4,4,15,12,3,6
"Ashaninca (003)",2,,1,,,1,,,
"Otra lengua nativa (004)",12,5,3,2,,,,1,1
"Castellano (005)",4239,480,1886,759,493,308,155,76,82
"Idioma extranjero (006)",6,,,,2,,1,1,2
"Es sordomudo/a (007)",55,3,11,15,6,1,9,3,7
"Hombres (009)",11872,660,3509,1831,1461,1379,1098,785,1149
"Quechua (010)",9633,406,2542,1430,1218,1200,999,740,1098
"Aymara (011)",25,1,4,1,3,5,8,2,1
"Ashaninca (012)",2,,1,,,1,,,
"Otra lengua nativa (013)",7,4,1,1,,,,1,
"Castellano (014)",2173,247,956,390,235,173,84,41,47
"Idioma extranjero (015)",2,,,,,,1,,1
"Es sordomudo/a (016)",30,2,5,9,5,,6,1,2
"Mujeres (018)",11452,630,3189,1648,1460,1330,1061,809,1325
"Quechua (019)",9325,394,2249,1269,1198,1184,983,770,1278
"Aymara (020)",27,1,2,3,1,10,4,1,5
"Otra lengua nativa (022)",5,1,2,1,,,,,1
"Castellano (023)",2066,233,930,369,258,135,71,35,35
"Idioma extranjero (024)",4,,,,2,,,1,1
"Es sordomudo/a (025)",25,1,6,6,1,1,3,2,5
,,,,,,,,,
"URBANA (027)",9323,492,2597,1634,1300,1125,841,520,814
"Quechua (028)",6068,146,1156,1056,936,874,706,451,743
"Aymara (029)",37,1,1,3,3,13,11,3,2
"Ashaninca (030)",2,,1,,,1,,,
"Otra lengua nativa (031)",11,5,2,2,,,,1,1
"Castellano (032)",3180,337,1433,567,356,237,121,63,66
"Idioma extranjero (033)",6,,,,2,,1,1,2
"Es sordomudo/a (034)",19,3,4,6,3,,2,1,
"Hombres (036)",4620,250,1300,852,637,550,428,255,348
"Quechua (037)",3016,67,591,566,478,423,358,221,312
"Aymara (038)",19,1,1,,2,5,8,2,
"Ashaninca (039)",2,,1,,,1,,,
"Otra lengua nativa (040)",7,4,1,1,,,,1,
"Castellano (041)",1564,176,705,282,154,121,60,31,35
"Idioma extranjero (042)",2,,,,,,1,,1
"Es sordomudo/a (043)",10,2,1,3,3,,1,,
"Mujeres (045)",4703,242,1297,782,663,575,413,265,466
"Quechua (046)",3052,79,565,490,458,451,348,230,431
"Aymara (047)",18,,,3,1,8,3,1,2
"Otra lengua nativa (049)",4,1,1,1,,,,,1
"Castellano (050)",1616,161,728,285,202,116,61,32,31
"Idioma extranjero (051)",4,,,,2,,,1,1
"Es sordomudo/a (052)",9,1,3,3,,,1,1,
,,,,,,,,,
"RURAL (054)",14001,798,4101,1845,1621,1584,1318,1074,1660
"Quechua (055)",12890,654,3635,1643,1480,1510,1276,1059,1633
"Aymara (056)",15,1,5,1,1,2,1,,4
"Otra lengua nativa (058)",1,,1,,,,,,
"Castellano (059)",1059,143,453,192,137,71,34,13,16
"Es sordomudo/a (061)",36,,7,9,3,1,7,2,7
"Hombres (063)",7252,410,2209,979,824,829,670,530,801
"Quechua (064)",6617,339,1951,864,740,777,641,519,786
"Aymara (065)",6,,3,1,1,,,,1
"Castellano (068)",609,71,251,108,81,52,24,10,12
"Es sordomudo/a (070)",20,,4,6,2,,5,1,2
"Mujeres (072)",6749,388,1892,866,797,755,648,544,859
"Quechua (073)",6273,315,1684,779,740,733,635,540,847
"Aymara (074)",9,1,2,,,2,1,,3
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",450,72,202,84,56,19,10,3,4
"Es sordomudo/a (079)",16,,3,3,1,1,2,1,5
