"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia YAULI (000)",45297,3597,1173,12376,17952,3030,3047,1419,2703
"Jefe o Jefa (001)",14067,540,4,2770,6413,1173,1242,602,1323
"Esposa(o)/ compa¤era(o) (002)",7638,391,4,1998,3282,525,667,218,553
"Hijo(a)/ hijastro(a) (003)",17399,1976,942,6060,5847,931,711,437,495
"Yerno/ nuera (004)",516,2,,43,269,57,76,31,38
"Nieto(a) (005)",1402,323,158,520,334,32,15,12,8
"Padres/ suegros (006)",376,134,,173,54,2,4,,9
"Otro(a) pariente (007)",2467,203,54,649,1031,171,158,66,135
"Trabajador(a) del hogar (008)",33,1,1,13,13,4,,1,
"Pensionista (009)",38,,,6,19,6,3,,4
"Otro(a) no pariente (010)",1361,27,10,144,690,129,171,52,138
"Hombres (012)",23482,1445,616,5601,10097,1724,1604,888,1507
"Jefe o Jefa (013)",10729,110,1,1778,5322,956,980,532,1050
"Esposa(o)/ compa¤era(o) (014)",350,5,1,55,191,23,28,9,38
"Hijo(a)/ hijastro(a) (015)",8839,1043,488,3038,3041,481,309,240,199
"Yerno/ nuera (016)",233,,,9,112,30,36,22,24
"Nieto(a) (017)",781,173,95,274,200,18,11,6,4
"Padres/ suegros (018)",103,10,,53,32,1,4,,3
"Otro(a) pariente (019)",1371,92,27,304,639,102,90,39,78
"Trabajador(a) del hogar (020)",5,,,1,2,2,,,
"Pensionista (021)",25,,,4,12,5,2,,2
"Otro(a) no pariente (022)",1046,12,4,85,546,106,144,40,109
"Mujeres (024)",21815,2152,557,6775,7855,1306,1443,531,1196
"Jefe o Jefa (025)",3338,430,3,992,1091,217,262,70,273
"Esposa(o)/ compa¤era(o) (026)",7288,386,3,1943,3091,502,639,209,515
"Hijo(a)/ hijastro(a) (027)",8560,933,454,3022,2806,450,402,197,296
"Yerno/ nuera (028)",283,2,,34,157,27,40,9,14
"Nieto(a) (029)",621,150,63,246,134,14,4,6,4
"Padres/ suegros (030)",273,124,,120,22,1,,,6
"Otro(a) pariente (031)",1096,111,27,345,392,69,68,27,57
"Trabajador(a) del hogar (032)",28,1,1,12,11,2,,1,
"Pensionista (033)",13,,,2,7,1,1,,2
"Otro(a) no pariente (034)",315,15,6,59,144,23,27,12,29
,,,,,,,,,
"URBANA (036)",39965,2960,1092,10279,16015,2808,2879,1361,2571
"Jefe o Jefa (037)",12029,386,3,2002,5575,1097,1162,574,1230
"Esposa(o)/ compa¤era(o) (038)",6844,300,4,1604,3015,503,652,217,549
"Hijo(a)/ hijastro(a) (039)",15653,1682,880,5364,5307,852,672,415,481
"Yerno/ nuera (040)",475,1,,37,249,52,71,30,35
"Nieto(a) (041)",1256,283,149,471,290,28,15,12,8
"Padres/ suegros (042)",348,121,,161,51,2,4,,9
"Otro(a) pariente (043)",2156,162,47,509,929,161,154,64,130
"Trabajador(a) del hogar (044)",29,1,1,12,11,3,,1,
"Pensionista (045)",38,,,6,19,6,3,,4
