"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHURCAMPA (000)",38100,11796,9979,7298,6104,2923
"Hombres (001)",18790,6035,4938,3582,2962,1273
"Mujeres (002)",19310,5761,5041,3716,3142,1650
"PEA (003)",13586,148,4136,4658,3578,1066
"Hombres (004)",9566,86,2873,3269,2570,768
"Mujeres (005)",4020,62,1263,1389,1008,298
"Ocupada (006)",13112,136,3890,4537,3499,1050
"Hombres (007)",9188,79,2689,3169,2498,753
"Mujeres (008)",3924,57,1201,1368,1001,297
"Desocupada (009)",474,12,246,121,79,16
"Hombres (010)",378,7,184,100,72,15
"Mujeres (011)",96,5,62,21,7,1
"No PEA (012)",24514,11648,5843,2640,2526,1857
"Hombres (013)",9224,5949,2065,313,392,505
"Mujeres (014)",15290,5699,3778,2327,2134,1352
,,,,,,
"URBANA (018)",8986,2212,2445,2115,1584,630
"Hombres (019)",4661,1139,1265,1130,853,274
"Mujeres (020)",4325,1073,1180,985,731,356
"PEA (021)",3861,40,1070,1531,1023,197
"Hombres (022)",2637,27,712,1035,740,123
"Mujeres (023)",1224,13,358,496,283,74
"Ocupada (024)",3679,34,983,1483,986,193
"Hombres (025)",2498,23,653,995,708,119
"Mujeres (026)",1181,11,330,488,278,74
"Desocupada (027)",182,6,87,48,37,4
"Hombres (028)",139,4,59,40,32,4
"Mujeres (029)",43,2,28,8,5,
"No PEA (030)",5125,2172,1375,584,561,433
"Hombres (031)",2024,1112,553,95,113,151
"Mujeres (032)",3101,1060,822,489,448,282
,,,,,,
"RURAL (036)",29114,9584,7534,5183,4520,2293
"Hombres (037)",14129,4896,3673,2452,2109,999
"Mujeres (038)",14985,4688,3861,2731,2411,1294
"PEA (039)",9725,108,3066,3127,2555,869
"Hombres (040)",6929,59,2161,2234,1830,645
"Mujeres (041)",2796,49,905,893,725,224
"Ocupada (042)",9433,102,2907,3054,2513,857
"Hombres (043)",6690,56,2036,2174,1790,634
"Mujeres (044)",2743,46,871,880,723,223
"Desocupada (045)",292,6,159,73,42,12
"Hombres (046)",239,3,125,60,40,11
"Mujeres (047)",53,3,34,13,2,1
"No PEA (048)",19389,9476,4468,2056,1965,1424
"Hombres (049)",7200,4837,1512,218,279,354
"Mujeres (050)",12189,4639,2956,1838,1686,1070
