"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BELLAVISTA (000)",41808,2625,731,24377,11286,859,1109,284,537
"Hombres (001)",22557,874,374,13095,6650,489,577,188,310
"Mujeres (002)",19251,1751,357,11282,4636,370,532,96,227
"PEA (003)",19422,917,29,10406,5956,565,884,209,456
"Hombres (004)",14905,537,22,8215,4771,402,529,146,283
"Mujeres (005)",4517,380,7,2191,1185,163,355,63,173
"Ocupada (006)",19097,901,29,10257,5838,552,868,206,446
"Hombres (007)",14655,527,22,8095,4671,396,522,143,279
"Mujeres (008)",4442,374,7,2162,1167,156,346,63,167
"Desocupada (009)",325,16,,149,118,13,16,3,10
"Hombres (010)",250,10,,120,100,6,7,3,4
"Mujeres (011)",75,6,,29,18,7,9,,6
"No PEA (012)",22386,1708,702,13971,5330,294,225,75,81
"Hombres (013)",7652,337,352,4880,1879,87,48,42,27
"Mujeres (014)",14734,1371,350,9091,3451,207,177,33,54
,,,,,,,,,
"URBANA (018)",23540,1011,383,11837,7862,749,972,249,477
"Hombres (019)",12472,327,204,6067,4502,424,506,163,279
"Mujeres (020)",11068,684,179,5770,3360,325,466,86,198
"PEA (021)",11109,323,15,4820,4087,496,772,183,413
"Hombres (022)",7994,163,13,3482,3143,349,462,126,256
"Mujeres (023)",3115,160,2,1338,944,147,310,57,157
"Ocupada (024)",10841,315,15,4705,3982,483,757,180,404
"Hombres (025)",7790,159,13,3388,3056,343,456,123,252
"Mujeres (026)",3051,156,2,1317,926,140,301,57,152
"Desocupada (027)",268,8,,115,105,13,15,3,9
"Hombres (028)",204,4,,94,87,6,6,3,4
"Mujeres (029)",64,4,,21,18,7,9,,5
"No PEA (030)",12431,688,368,7017,3775,253,200,66,64
"Hombres (031)",4478,164,191,2585,1359,75,44,37,23
"Mujeres (032)",7953,524,177,4432,2416,178,156,29,41
,,,,,,,,,
"RURAL (036)",18268,1614,348,12540,3424,110,137,35,60
"Hombres (037)",10085,547,170,7028,2148,65,71,25,31
"Mujeres (038)",8183,1067,178,5512,1276,45,66,10,29
"PEA (039)",8313,594,14,5586,1869,69,112,26,43
"Hombres (040)",6911,374,9,4733,1628,53,67,20,27
"Mujeres (041)",1402,220,5,853,241,16,45,6,16
"Ocupada (042)",8256,586,14,5552,1856,69,111,26,42
"Hombres (043)",6865,368,9,4707,1615,53,66,20,27
"Mujeres (044)",1391,218,5,845,241,16,45,6,15
"Desocupada (045)",57,8,,34,13,,1,,1
"Hombres (046)",46,6,,26,13,,1,,
"Mujeres (047)",11,2,,8,,,,,1
"No PEA (048)",9955,1020,334,6954,1555,41,25,9,17
"Hombres (049)",3174,173,161,2295,520,12,4,5,4
"Mujeres (050)",6781,847,173,4659,1035,29,21,4,13
