"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AYABACA (000)",116249,19115,2146,69324,19486,1607,2606,639,1326
"Hombres (001)",59558,7359,1073,36656,11236,855,1291,370,718
"Mujeres (002)",56691,11756,1073,32668,8250,752,1315,269,608
"PEA (003)",37404,5339,28,21232,6834,786,1894,335,956
"Hombres (004)",32252,4453,21,19360,5963,535,1103,226,591
"Mujeres (005)",5152,886,7,1872,871,251,791,109,365
"Ocupada (006)",35768,5165,26,20350,6452,746,1799,315,915
"Hombres (007)",30891,4311,19,18586,5644,512,1044,212,563
"Mujeres (008)",4877,854,7,1764,808,234,755,103,352
"Desocupada (009)",1636,174,2,882,382,40,95,20,41
"Hombres (010)",1361,142,2,774,319,23,59,14,28
"Mujeres (011)",275,32,,108,63,17,36,6,13
"No PEA (012)",78845,13776,2118,48092,12652,821,712,304,370
"Hombres (013)",27306,2906,1052,17296,5273,320,188,144,127
"Mujeres (014)",51539,10870,1066,30796,7379,501,524,160,243
,,,,,,,,,
"URBANA (018)",14083,927,219,4806,4032,945,1727,444,983
"Hombres (019)",6996,319,116,2252,2186,489,832,258,544
"Mujeres (020)",7087,608,103,2554,1846,456,895,186,439
"PEA (021)",6055,273,6,1391,1701,500,1240,238,706
"Hombres (022)",3916,163,2,901,1237,319,695,159,440
"Mujeres (023)",2139,110,4,490,464,181,545,79,266
"Ocupada (024)",5694,263,5,1316,1586,469,1165,220,670
"Hombres (025)",3660,155,1,845,1147,301,649,147,415
"Mujeres (026)",2034,108,4,471,439,168,516,73,255
"Desocupada (027)",361,10,1,75,115,31,75,18,36
"Hombres (028)",256,8,1,56,90,18,46,12,25
"Mujeres (029)",105,2,,19,25,13,29,6,11
"No PEA (030)",8028,654,213,3415,2331,445,487,206,277
"Hombres (031)",3080,156,114,1351,949,170,137,99,104
"Mujeres (032)",4948,498,99,2064,1382,275,350,107,173
,,,,,,,,,
"RURAL (036)",102166,18188,1927,64518,15454,662,879,195,343
"Hombres (037)",52562,7040,957,34404,9050,366,459,112,174
"Mujeres (038)",49604,11148,970,30114,6404,296,420,83,169
"PEA (039)",31349,5066,22,19841,5133,286,654,97,250
"Hombres (040)",28336,4290,19,18459,4726,216,408,67,151
"Mujeres (041)",3013,776,3,1382,407,70,246,30,99
"Ocupada (042)",30074,4902,21,19034,4866,277,634,95,245
"Hombres (043)",27231,4156,18,17741,4497,211,395,65,148
"Mujeres (044)",2843,746,3,1293,369,66,239,30,97
"Desocupada (045)",1275,164,1,807,267,9,20,2,5
"Hombres (046)",1105,134,1,718,229,5,13,2,3
"Mujeres (047)",170,30,,89,38,4,7,,2
"No PEA (048)",70817,13122,1905,44677,10321,376,225,98,93
"Hombres (049)",24226,2750,938,15945,4324,150,51,45,23
"Mujeres (050)",46591,10372,967,28732,5997,226,174,53,70
