"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia YAULI (000)",48147,834,14403,12425,11044,7365,2076
"Jefe o Jefa (001)",14067,,31,2533,5459,4662,1382
"Esposa(o) / compañera(o) (002)",7638,,25,1901,3361,2013,338
"Hijo(a) / hijastro(a) (003)",19572,610,12006,5656,1112,183,5
"Yerno / nuera (004)",516,,11,340,150,15,
"Nieto(a) (005)",1886,167,1434,273,12,,
"Padres / suegros (006)",376,,,,11,111,254
"Otro(a) pariente (007)",2647,55,820,1000,457,240,75
"Trabajador(a) del hogar (008)",33,,2,20,8,3,
"Pensionistas (009)",38,,,26,7,2,3
"Otro(a) no pariente (010)",1374,2,74,676,467,136,19
"Hombres (011)",24969,430,7366,6344,5760,4070,999
"Jefe o Jefa (012)",10729,,18,1948,4285,3613,865
"Esposa(o) / compañera(o) (013)",350,,15,121,123,66,25
"Hijo(a) / hijastro(a) (014)",9980,325,6089,2923,551,88,4
"Yerno / nuera (015)",233,,7,123,92,11,
"Nieto(a) (016)",1027,82,774,162,9,,
"Padres / suegros (017)",103,,,,6,35,62
"Otro(a) pariente (018)",1464,22,419,559,289,146,29
"Trabajador(a) del hogar (019)",5,,,3,1,1,
"Pensionistas (020)",25,,,15,6,2,2
"Otro(a) no pariente (021)",1053,1,44,490,398,108,12
"Mujeres (022)",23178,404,7037,6081,5284,3295,1077
"Jefe o Jefa (023)",3338,,13,585,1174,1049,517
"Esposa(o) / compañera(o) (024)",7288,,10,1780,3238,1947,313
"Hijo(a) / hijastro(a) (025)",9592,285,5917,2733,561,95,1
"Yerno / nuera (026)",283,,4,217,58,4,
"Nieto(a) (027)",859,85,660,111,3,,
"Padres / suegros (028)",273,,,,5,76,192
"Otro(a) pariente (029)",1183,33,401,441,168,94,46
"Trabajador(a) del hogar (030)",28,,2,17,7,2,
"Pensionistas (031)",13,,,11,1,,1
"Otro(a) no pariente (032)",321,1,30,186,69,28,7
,,,,,,,
"URBANA (033)",42472,749,12872,10905,9856,6401,1689
"Jefe o Jefa (034)",12029,,25,2100,4791,4020,1093
"Esposa(o) / compañera(o) (035)",6844,,22,1682,3081,1784,275
"Hijo(a) / hijastro(a) (036)",17558,546,10767,5075,1006,161,3
"Yerno / nuera (037)",475,,11,310,141,13,
"Nieto(a) (038)",1691,152,1292,235,12,,
"Padres / suegros (039)",348,,,,9,99,240
"Otro(a) pariente (040)",2311,49,689,895,413,205,60
"Trabajador(a) del hogar (041)",29,,2,18,7,2,
"Pensionistas (042)",38,,,26,7,2,3
"Otro(a) no pariente (043)",1149,2,64,564,389,115,15
"Hombres (044)",21830,387,6586,5480,5042,3525,810
"Jefe o Jefa (045)",9144,,16,1579,3731,3128,690
"Esposa(o) / compañera(o) (046)",329,,14,112,119,60,24
"Hijo(a) / hijastro(a) (047)",8956,292,5456,2629,495,82,2
"Yerno / nuera (048)",218,,7,116,86,9,
"Nieto(a) (049)",923,73,702,139,9,,
"Padres / suegros (050)",91,,,,5,27,59
"Otro(a) pariente (051)",1284,21,353,496,263,127,24
"Trabajador(a) del hogar (052)",4,,,3,1,,
"Pensionistas (053)",25,,,15,6,2,2
"Otro(a) no pariente (054)",856,1,38,391,327,90,9
"Mujeres (055)",20642,362,6286,5425,4814,2876,879
"Jefe o Jefa (056)",2885,,9,521,1060,892,403
"Esposa(o) / compañera(o) (057)",6515,,8,1570,2962,1724,251
"Hijo(a) / hijastro(a) (058)",8602,254,5311,2446,511,79,1
"Yerno / nuera (059)",257,,4,194,55,4,
"Nieto(a) (060)",768,79,590,96,3,,
"Padres / suegros (061)",257,,,,4,72,181
"Otro(a) pariente (062)",1027,28,336,399,150,78,36
"Trabajador(a) del hogar (063)",25,,2,15,6,2,
"Pensionistas (064)",13,,,11,1,,1
"Otro(a) no pariente (065)",293,1,26,173,62,25,6
,,,,,,,
"RURAL (066)",5675,85,1531,1520,1188,964,387
"Jefe o Jefa (067)",2038,,6,433,668,642,289
"Esposa(o) / compañera(o) (068)",794,,3,219,280,229,63
"Hijo(a) / hijastro(a) (069)",2014,64,1239,581,106,22,2
"Yerno / nuera (070)",41,,,30,9,2,
"Nieto(a) (071)",195,15,142,38,,,
"Padres / suegros (072)",28,,,,2,12,14
"Otro(a) pariente (073)",336,6,131,105,44,35,15
"Trabajador(a) del hogar (074)",4,,,2,1,1,
"Otro(a) no pariente (076)",225,,10,112,78,21,4
"Hombres (077)",3139,43,780,864,718,545,189
"Jefe o Jefa (078)",1585,,2,369,554,485,175
"Esposa(o) / compañera(o) (079)",21,,1,9,4,6,1
"Hijo(a) / hijastro(a) (080)",1024,33,633,294,56,6,2
"Yerno / nuera (081)",15,,,7,6,2,
"Nieto(a) (082)",104,9,72,23,,,
"Padres / suegros (083)",12,,,,1,8,3
"Otro(a) pariente (084)",180,1,66,63,26,19,5
"Trabajador(a) del hogar (085)",1,,,,,1,
"Otro(a) no pariente (087)",197,,6,99,71,18,3
"Mujeres (088)",2536,42,751,656,470,419,198
"Jefe o Jefa (089)",453,,4,64,114,157,114
"Esposa(o) / compañera(o) (090)",773,,2,210,276,223,62
"Hijo(a) / hijastro(a) (091)",990,31,606,287,50,16,
"Yerno / nuera (092)",26,,,23,3,,
"Nieto(a) (093)",91,6,70,15,,,
"Padres / suegros (094)",16,,,,1,4,11
"Otro(a) pariente (095)",156,5,65,42,18,16,10
"Trabajador(a) del hogar (096)",3,,,2,1,,
"Otro(a) no pariente (098)",28,,4,13,7,3,1
