"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia ASUNCION (000)",2551,41,1008,872,238,85,34,11,2,,260
"Catolica (001)",2340,35,923,799,221,80,30,10,,,242
"Cristiana / Evangelica (002)",205,6,83,71,16,5,4,1,2,,17
"Otra (003)",3,,2,,,,,,,,1
"Ninguna (004)",3,,,2,1,,,,,,
,,,,,,,,,,,
"URBANA (006)",612,6,166,230,86,28,14,6,,,76
"Catolica (007)",574,6,158,216,80,27,12,5,,,70
"Cristiana / Evangelica (008)",35,,8,13,5,1,2,1,,,5
"Otra (009)",1,,,,,,,,,,1
"Ninguna (010)",2,,,1,1,,,,,,
,,,,,,,,,,,
"RURAL (012)",1939,35,842,642,152,57,20,5,2,,184
"Catolica (013)",1766,29,765,583,141,53,18,5,,,172
"Cristiana / Evangelica (014)",170,6,75,58,11,4,2,,2,,12
"Otra (015)",2,,2,,,,,,,,
"Ninguna (016)",1,,,1,,,,,,,
