"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia TARMA (000)",1174,1024,150
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",183,181,2
"Casa pensión (003)",7,3,4
"Hospital, clinica (004)",109,109,
"Cárcel, centro de readaptación social (005)",85,85,
"Aldea infantil, orfelinato, etc (007)",38,38,
"Otro (008)",413,280,133
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",339,328,11
