"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CANTA (000)",3746,47,1432,1241,369,149,80,20,2,,406
"Sin Nivel (001)",464,14,193,146,43,14,7,2,,,45
"Educación Inicial (002)",5,,3,2,,,,,,,
"Primaria (003)",1408,18,584,477,119,49,38,10,1,,112
"Secundaria (004)",1278,12,538,422,113,40,19,6,1,,127
"Sup. no Univ. Incompleta (005)",134,2,33,48,14,4,2,,,,31
"Sup. no Univ. Completa (006)",173,,40,58,31,11,2,,,,31
"Sup. Univ. Incompleta (007)",85,,18,33,12,5,1,,,,16
"Sup. Univ. Completa (008)",199,1,23,55,37,26,11,2,,,44
,,,,,,,,,,,
"URBANA (010)",1916,21,657,648,209,88,52,13,2,,226
"Sin Nivel (011)",115,5,48,34,9,6,1,1,,,11
"Educación Inicial (012)",4,,2,2,,,,,,,
"Primaria (013)",785,11,292,281,68,29,27,6,1,,70
"Secundaria (014)",653,4,264,206,64,22,12,4,1,,76
"Sup. no Univ. Incompleta (015)",65,1,13,26,9,2,2,,,,12
"Sup. no Univ. Completa (016)",88,,13,35,19,4,2,,,,15
"Sup. Univ. Incompleta (017)",66,,11,28,11,4,1,,,,11
"Sup. Univ. Completa (018)",140,,14,36,29,21,7,2,,,31
,,,,,,,,,,,
"RURAL (020)",1830,26,775,593,160,61,28,7,,,180
"Sin Nivel (021)",349,9,145,112,34,8,6,1,,,34
"Educación Inicial (022)",1,,1,,,,,,,,
"Primaria (023)",623,7,292,196,51,20,11,4,,,42
"Secundaria (024)",625,8,274,216,49,18,7,2,,,51
"Sup. no Univ. Incompleta (025)",69,1,20,22,5,2,,,,,19
"Sup. no Univ. Completa (026)",85,,27,23,12,7,,,,,16
"Sup. Univ. Incompleta (027)",19,,7,5,1,1,,,,,5
"Sup. Univ. Completa (028)",59,1,9,19,8,5,4,,,,13
