"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PAITA (000)",100801,23245,20238,4722,52848
"Quechua (001)",57,9,7,8,34
"Aymara (002)",20,4,7,4,6
"Asháninka (003)",8,3,,2,3
"Otra lengua nativa (004)",97,45,11,2,39
"Castellano (005)",100498,23155,20194,4699,52700
"Idioma Extranjero (006)",14,2,2,4,6
"Es Sordomudo/a (007)",107,27,17,3,60
"Hombres (009)",50703,10530,10207,2749,27384
"Quechua (010)",39,6,3,7,24
"Aymara (011)",13,3,4,2,4
"Asháninka (012)",5,3,,1,1
"Otra lengua nativa (013)",49,23,7,2,17
"Castellano (014)",50524,10479,10181,2733,27297
"Idioma Extranjero (015)",9,,1,3,5
"Es Sordomudo/a (016)",64,16,11,1,36
"Mujeres (018)",50098,12715,10031,1973,25464
"Quechua (019)",18,3,4,1,10
"Aymara (020)",7,1,3,2,2
"Asháninka (021)",3,,,1,2
"Otra lengua nativa (022)",48,22,4,,22
"Castellano (023)",49974,12676,10013,1966,25403
"Idioma Extranjero (024)",5,2,1,1,1
"Es Sordomudo/a (025)",43,11,6,2,24
,,,,,
"URBANA (027)",96217,21254,19695,4660,50854
"Quechua (028)",54,8,7,8,32
"Aymara (029)",20,4,7,4,6
"Asháninka (030)",8,3,,2,3
"Otra lengua nativa (031)",96,45,11,2,38
"Castellano (032)",95923,21168,19651,4637,50711
"Idioma Extranjero (033)",14,2,2,4,6
"Es Sordomudo/a (034)",102,24,17,3,58
"Hombres (036)",48272,9578,9915,2708,26233
"Quechua (037)",36,5,3,7,22
"Aymara (038)",13,3,4,2,4
"Asháninka (039)",5,3,,1,1
"Otra lengua nativa (040)",49,23,7,2,17
"Castellano (041)",48100,9531,9889,2692,26149
"Idioma Extranjero (042)",9,,1,3,5
"Es Sordomudo/a (043)",60,13,11,1,35
"Mujeres (045)",47945,11676,9780,1952,24621
"Quechua (046)",18,3,4,1,10
"Aymara (047)",7,1,3,2,2
"Asháninka (048)",3,,,1,2
"Otra lengua nativa (049)",47,22,4,,21
"Castellano (050)",47823,11637,9762,1945,24562
"Idioma Extranjero (051)",5,2,1,1,1
"Es Sordomudo/a (052)",42,11,6,2,23
,,,,,
"RURAL (054)",4584,1991,543,62,1994
"Quechua (055)",3,1,,,2
"Otra lengua nativa (058)",1,,,,1
"Castellano (059)",4575,1987,543,62,1989
"Es Sordomudo/a (061)",5,3,,,2
"Hombres (063)",2431,952,292,41,1151
"Quechua (064)",3,1,,,2
"Castellano (068)",2424,948,292,41,1148
"Es Sordomudo/a (070)",4,3,,,1
"Mujeres (072)",2153,1039,251,21,843
"Otra lengua nativa (076)",1,,,,1
"Castellano (077)",2151,1039,251,21,841
"Es Sordomudo/a (079)",1,,,,1
