"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia PALLASCA (000)",7379,75,3014,2536,696,269,109,49,5,,626
"Catolica (001)",6155,59,2464,2116,605,240,96,43,5,,527
"Cristiana / Evangelica (002)",1028,15,467,359,74,21,10,5,,,77
"Otra (003)",100,1,34,31,14,5,1,1,,,13
"Ninguna (004)",96,,49,30,3,3,2,,,,9
,,,,,,,,,,,
"URBANA (006)",3992,41,1532,1376,426,168,71,30,4,,344
"Catolica (007)",3397,33,1296,1156,370,153,65,26,4,,294
"Cristiana / Evangelica (008)",496,8,210,182,40,11,4,3,,,38
"Otra (009)",64,,13,23,13,3,1,1,,,10
"Ninguna (010)",35,,13,15,3,1,1,,,,2
,,,,,,,,,,,
"RURAL (012)",3387,34,1482,1160,270,101,38,19,1,,282
"Catolica (013)",2758,26,1168,960,235,87,31,17,1,,233
"Cristiana / Evangelica (014)",532,7,257,177,34,10,6,2,,,39
"Otra (015)",36,1,21,8,1,2,,,,,3
"Ninguna (016)",61,,36,15,,2,1,,,,7
