"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TAMBOPATA (000)",27095,26176,8163,4637,4141,2986,3529,1558,1162,919
"Católica (001)",21322,20615,6271,3758,3361,2378,2761,1194,892,707
"Cristiana/Evangélica (002)",3354,3242,1040,472,439,370,496,239,186,112
"Otra (003)",1423,1376,483,212,188,152,191,85,65,47
"Ninguna (004)",996,943,369,195,153,86,81,40,19,53
,,,,,,,,,,
"URBANA (006)",23403,22622,7294,4014,3572,2617,2984,1273,868,781
"Católica (007)",18461,17864,5606,3266,2911,2078,2352,981,670,597
"Cristiana/Evangélica (008)",2825,2728,919,403,366,326,395,187,132,97
"Otra (009)",1278,1235,449,181,166,138,171,77,53,43
"Ninguna (010)",839,795,320,164,129,75,66,28,13,44
,,,,,,,,,,
"RURAL (012)",3692,3554,869,623,569,369,545,285,294,138
"Católica (013)",2861,2751,665,492,450,300,409,213,222,110
"Cristiana/Evangélica (014)",529,514,121,69,73,44,101,52,54,15
"Otra (015)",145,141,34,31,22,14,20,8,12,4
"Ninguna (016)",157,148,49,31,24,11,15,12,6,9
