"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAHUAMANU (000)",8485,889,208,2579,3241,535,542,205,286
"Jefe o Jefa (001)",2693,191,,640,1085,227,290,105,155
"Esposa(o)/ compa¤era(o) (002)",1346,118,1,391,548,88,115,25,60
"Hijo(a)/ hijastro(a) (003)",2918,426,169,1116,952,130,71,36,18
"Yerno/ nuera (004)",114,1,,19,69,5,6,4,10
"Nieto(a) (005)",254,64,24,108,45,11,1,1,
"Padres/ suegros (006)",65,23,,31,8,2,,1,
"Otro(a) pariente (007)",662,46,12,179,299,51,38,17,20
"Trabajador(a) del hogar (008)",9,,,2,6,1,,,
"Pensionista (009)",20,,,2,14,3,1,,
"Otro(a) no pariente (010)",404,20,2,91,215,17,20,16,23
"Hombres (012)",4662,380,107,1355,1917,315,277,136,175
"Jefe o Jefa (013)",2065,93,,484,886,193,209,80,120
"Esposa(o)/ compa¤era(o) (014)",104,6,,22,59,7,2,2,6
"Hijo(a)/ hijastro(a) (015)",1570,209,90,597,547,60,31,27,9
"Yerno/ nuera (016)",48,,,13,21,2,3,3,6
"Nieto(a) (017)",132,30,12,58,24,7,,1,
"Padres/ suegros (018)",29,7,,17,3,1,,1,
"Otro(a) pariente (019)",401,25,4,100,202,29,16,10,15
"Trabajador(a) del hogar (020)",1,,,,,1,,,
"Pensionista (021)",19,,,2,13,3,1,,
"Otro(a) no pariente (022)",293,10,1,62,162,12,15,12,19
"Mujeres (024)",3823,509,101,1224,1324,220,265,69,111
"Jefe o Jefa (025)",628,98,,156,199,34,81,25,35
"Esposa(o)/ compa¤era(o) (026)",1242,112,1,369,489,81,113,23,54
"Hijo(a)/ hijastro(a) (027)",1348,217,79,519,405,70,40,9,9
"Yerno/ nuera (028)",66,1,,6,48,3,3,1,4
"Nieto(a) (029)",122,34,12,50,21,4,1,,
"Padres/ suegros (030)",36,16,,14,5,1,,,
"Otro(a) pariente (031)",261,21,8,79,97,22,22,7,5
"Trabajador(a) del hogar (032)",8,,,2,6,,,,
"Pensionista (033)",1,,,,1,,,,
"Otro(a) no pariente (034)",111,10,1,29,53,5,5,4,4
,,,,,,,,,
"URBANA (036)",5997,532,145,1583,2481,428,419,168,241
"Jefe o Jefa (037)",1844,76,,346,839,163,209,83,128
"Esposa(o)/ compa¤era(o) (038)",965,50,,211,448,78,99,23,56
"Hijo(a)/ hijastro(a) (039)",2070,302,116,729,709,105,64,29,16
"Yerno/ nuera (040)",82,,,11,46,5,6,4,10
"Nieto(a) (041)",188,44,16,78,41,8,,1,
"Padres/ suegros (042)",50,17,,22,8,2,,1,
"Otro(a) pariente (043)",519,31,11,138,228,49,29,14,19
"Trabajador(a) del hogar (044)",6,,,1,4,1,,,
"Pensionista (045)",17,,,2,11,3,1,,
"Otro(a) no pariente (046)",256,12,2,45,147,14,11,13,12
"Hombres (048)",3173,215,68,776,1415,237,203,116,143
"Jefe o Jefa (049)",1379,21,,233,672,132,152,70,99
