"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUAYTARA (000)",6777,2671,4106
"Red pública de desague dentro de la vivienda (001)",358,343,15
"Red pública de desague fuera de la vivienda (002)",131,124,7
"Pozo séptico (003)",50,37,13
"Pozo ciego o negro / letrina (004)",827,485,342
"Río, acequia o canal (005)",107,33,74
"No tiene (006)",5304,1649,3655
,,,
"URBANA (008)",1965,1497,468
"Red pública de desague dentro de la vivienda (009)",317,308,9
"Red pública de desague fuera de la vivienda (010)",88,83,5
"Pozo séptico (011)",25,23,2
"Pozo ciego o negro / letrina (012)",268,231,37
"Río, acequia o canal (013)",21,17,4
"No tiene (014)",1246,835,411
,,,
"RURAL (016)",4812,1174,3638
"Red pública de desague dentro de la vivienda (017)",41,35,6
"Red pública de desague fuera de la vivienda (018)",43,41,2
"Pozo séptico (019)",25,14,11
"Pozo ciego o negro / letrina (020)",559,254,305
"Río, acequia o canal (021)",86,16,70
"No tiene (022)",4058,814,3244
