"CUADRO Nº 10: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA",
,,SI,NO
,,,
"Provincia VICTOR FAJARDO",,,
"Viviendas particulares (001)",4395,4000,395
"Ocupantes presentes (002)",14881,13576,1305
"Casa independiente",,,
"Viviendas particulares (004)",4346,3956,390
"Ocupantes presentes (005)",14726,13436,1290
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (010)",17,15,2
"Ocupantes presentes (011)",42,34,8
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",26,25,1
"Ocupantes presentes (014)",96,91,5
"Choza o cabaña",,,
"Viviendas particulares (016)",4,2,2
"Ocupantes presentes (017)",9,7,2
"Vivienda improvisada",,,
"Viviendas particulares (019)",1,1,
"Ocupantes presentes (020)",4,4,
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",1,1,
"Ocupantes presentes (023)",4,4,
"Otro tipo",,,
,,,
URBANA,,,
"Viviendas particulares (028)",3574,3276,298
"Ocupantes presentes (029)",12192,11209,983
"Casa independiente",,,
"Viviendas particulares (031)",3529,3234,295
"Ocupantes presentes (032)",12046,11076,970
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Viviendas particulares (037)",17,15,2
"Ocupantes presentes (038)",42,34,8
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",26,25,1
"Ocupantes presentes (041)",96,91,5
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",1,1,
"Ocupantes presentes (047)",4,4,
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",1,1,
"Ocupantes presentes (050)",4,4,
"Otro tipo",,,
,,,
RURAL,,,
"Viviendas particulares (055)",821,724,97
"Ocupantes presentes (056)",2689,2367,322
"Casa independiente",,,
"Viviendas particulares (058)",817,722,95
"Ocupantes presentes (059)",2680,2360,320
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",4,2,2
"Ocupantes presentes (071)",9,7,2
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Otro tipo",,,
