"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CAJAMARCA (000)",122362,115781,37526,19535,16930,12024,13773,8084,7909,6581
"Católica (001)",89875,84755,28268,15133,12877,8831,9620,5242,4784,5120
"Cristiana/Evangélica (002)",27351,26172,7541,3645,3415,2763,3556,2497,2755,1179
"Otra (003)",3358,3194,1054,464,419,301,425,255,276,164
"Ninguna (004)",1778,1660,663,293,219,129,172,90,94,118
,,,,,,,,,,
"URBANA (006)",70286,65765,21642,12590,11106,7388,7155,3369,2515,4521
"Católica (007)",55730,52017,17273,10337,9042,5897,5387,2391,1690,3713
"Cristiana/Evangélica (008)",11428,10833,3276,1717,1615,1232,1446,827,720,595
"Otra (009)",2156,2033,716,340,314,196,252,127,88,123
"Ninguna (010)",972,882,377,196,135,63,70,24,17,90
,,,,,,,,,,
"RURAL (012)",52076,50016,15884,6945,5824,4636,6618,4715,5394,2060
"Católica (013)",34145,32738,10995,4796,3835,2934,4233,2851,3094,1407
"Cristiana/Evangélica (014)",15923,15339,4265,1928,1800,1531,2110,1670,2035,584
"Otra (015)",1202,1161,338,124,105,105,173,128,188,41
"Ninguna (016)",806,778,286,97,84,66,102,66,77,28
