"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia AREQUIPA (000)",864250,13385,206886,250538,187377,142348,63716
"Hombres (001)",415972,6840,105293,121472,86072,66159,30136
"Mujeres (002)",448278,6545,101593,129066,101305,76189,33580
"Viviendas particulares (003)",854493,13280,205892,246695,185012,140723,62891
"Hombres (004)",410003,6784,104845,119027,84444,65173,29730
"Mujeres (005)",444490,6496,101047,127668,100568,75550,33161
"Viviendas colectivas (006)",8537,99,937,3134,2122,1448,797
"Hombres (007)",5204,55,424,2009,1476,855,385
"Mujeres (008)",3333,44,513,1125,646,593,412
"Otro tipo (009)",1220,6,57,709,243,177,28
"Hombres (010)",765,1,24,436,152,131,21
"Mujeres (011)",455,5,33,273,91,46,7
,,,,,,,
"URBANA (012)",842880,13030,201349,244930,183039,138693,61839
"Hombres (013)",404443,6648,102424,118420,83745,64161,29045
"Mujeres (014)",438437,6382,98925,126510,99294,74532,32794
"Viviendas particulares (015)",833685,12926,200359,241395,180851,137138,61016
"Hombres (016)",399000,6593,101976,116261,82289,63240,28641
"Mujeres (017)",434685,6333,98383,125134,98562,73898,32375
"Viviendas colectivas (018)",8000,98,934,2843,1949,1381,795
"Hombres (019)",4693,54,424,1734,1307,791,383
"Mujeres (020)",3307,44,510,1109,642,590,412
"Otro tipo (021)",1195,6,56,692,239,174,28
"Hombres (022)",750,1,24,425,149,130,21
"Mujeres (023)",445,5,32,267,90,44,7
,,,,,,,
"RURAL (024)",21370,355,5537,5608,4338,3655,1877
"Hombres (025)",11529,192,2869,3052,2327,1998,1091
"Mujeres (026)",9841,163,2668,2556,2011,1657,786
"Viviendas particulares (027)",20808,354,5533,5300,4161,3585,1875
"Hombres (028)",11003,191,2869,2766,2155,1933,1089
"Mujeres (029)",9805,163,2664,2534,2006,1652,786
"Viviendas colectivas (030)",537,1,3,291,173,67,2
"Hombres (031)",511,1,,275,169,64,2
"Mujeres (032)",26,,3,16,4,3,
"Otro tipo (033)",25,,1,17,4,3,
"Hombres (034)",15,,,11,3,1,
"Mujeres (035)",10,,1,6,1,2,
