"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CUSCO (000)",150924,135299,45713,22727,23688,16276,15612,6752,4531,15625
"Católica (001)",132373,119008,39221,20137,21204,14493,13917,6013,4023,13365
"Cristiana/Evangélica (002)",11407,10290,3915,1624,1611,1198,1106,498,338,1117
"Otra (003)",4623,3941,1473,593,632,438,471,192,142,682
"Ninguna (004)",2521,2060,1104,373,241,147,118,49,28,461
,,,,,,,,,,
"URBANA (006)",145377,129916,44155,22171,23045,15671,14660,6150,4064,15461
"Católica (007)",127763,114536,37973,19675,20667,13989,13106,5505,3621,13227
"Cristiana/Evangélica (008)",10625,9528,3666,1543,1515,1113,987,421,283,1097
"Otra (009)",4521,3843,1437,584,625,428,453,181,135,678
"Ninguna (010)",2468,2009,1079,369,238,141,114,43,25,459
,,,,,,,,,,
"RURAL (012)",5547,5383,1558,556,643,605,952,602,467,164
"Católica (013)",4610,4472,1248,462,537,504,811,508,402,138
"Cristiana/Evangélica (014)",782,762,249,81,96,85,119,77,55,20
"Otra (015)",102,98,36,9,7,10,18,11,7,4
"Ninguna (016)",53,51,25,4,3,6,4,6,3,2
