"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUACAYBAMBA (000)",18919,4359,702,9434,3647,165,325,78,209
"Quechua (001)",14920,3700,513,7757,2584,95,159,31,81
"Aymara (002)",19,8,1,4,5,,,,1
"Ashaninca (003)",2,,,2,,,,,
"Otra lengua nativa (004)",2,,,2,,,,,
"Castellano (005)",3869,560,185,1659,1055,70,166,47,127
"Idioma extranjero (006)",1,,,,1,,,,
"Es sordomudo/a (007)",106,91,3,10,2,,,,
"Hombres (009)",9439,1477,345,4957,2161,101,203,56,139
"Quechua (010)",7318,1173,243,4104,1543,59,106,26,64
"Aymara (011)",8,4,,2,2,,,,
"Ashaninca (012)",1,,,1,,,,,
"Otra lengua nativa (013)",1,,,1,,,,,
"Castellano (014)",2068,263,101,844,616,42,97,30,75
"Es sordomudo/a (016)",43,37,1,5,,,,,
"Mujeres (018)",9480,2882,357,4477,1486,64,122,22,70
"Quechua (019)",7602,2527,270,3653,1041,36,53,5,17
"Aymara (020)",11,4,1,2,3,,,,1
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",1,,,1,,,,,
"Castellano (023)",1801,297,84,815,439,28,69,17,52
"Idioma extranjero (024)",1,,,,1,,,,
"Es sordomudo/a (025)",63,54,2,5,2,,,,
,,,,,,,,,
"URBANA (027)",3483,422,119,1389,1068,95,209,48,133
"Quechua (028)",1978,263,45,877,585,51,94,21,42
"Aymara (029)",2,,,,1,,,,1
"Ashaninca (030)",1,,,1,,,,,
"Castellano (032)",1492,151,74,510,481,44,115,27,90
"Idioma extranjero (033)",1,,,,1,,,,
"Es sordomudo/a (034)",9,8,,1,,,,,
"Hombres (036)",1749,128,50,667,602,51,129,37,85
"Quechua (037)",953,56,16,417,329,28,61,16,30
"Ashaninca (039)",1,,,1,,,,,
"Castellano (041)",792,69,34,249,273,23,68,21,55
"Es sordomudo/a (043)",3,3,,,,,,,
"Mujeres (045)",1734,294,69,722,466,44,80,11,48
"Quechua (046)",1025,207,29,460,256,23,33,5,12
"Aymara (047)",2,,,,1,,,,1
"Castellano (050)",700,82,40,261,208,21,47,6,35
"Idioma extranjero (051)",1,,,,1,,,,
"Es sordomudo/a (052)",6,5,,1,,,,,
,,,,,,,,,
"RURAL (054)",15436,3937,583,8045,2579,70,116,30,76
"Quechua (055)",12942,3437,468,6880,1999,44,65,10,39
"Aymara (056)",17,8,1,4,4,,,,
"Ashaninca (057)",1,,,1,,,,,
"Otra lengua nativa (058)",2,,,2,,,,,
"Castellano (059)",2377,409,111,1149,574,26,51,20,37
"Es sordomudo/a (061)",97,83,3,9,2,,,,
"Hombres (063)",7690,1349,295,4290,1559,50,74,19,54
"Quechua (064)",6365,1117,227,3687,1214,31,45,10,34
"Aymara (065)",8,4,,2,2,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",1276,194,67,595,343,19,29,9,20
"Es sordomudo/a (070)",40,34,1,5,,,,,
"Mujeres (072)",7746,2588,288,3755,1020,20,42,11,22
"Quechua (073)",6577,2320,241,3193,785,13,20,,5
"Aymara (074)",9,4,1,2,2,,,,
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",1,,,1,,,,,
"Castellano (077)",1101,215,44,554,231,7,22,11,17
"Es sordomudo/a (079)",57,49,2,4,2,,,,
