"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia ISLAY (000)",49848,4128,1385,12838,16682,3777,5488,1972,3578
"Quechua (001)",5280,953,16,2084,1324,189,218,85,411
"Aymara (002)",1614,245,2,724,478,60,55,19,31
"Ashaninca (003)",9,1,,5,,,,1,2
"Otra lengua nativa (004)",110,12,2,36,41,14,4,1,
"Castellano (005)",42427,2889,1364,9973,14832,3482,5002,1791,3094
"Idioma extranjero (006)",362,,,3,7,31,208,74,39
"Es sordomudo/a (007)",46,28,1,13,,1,1,1,1
"Hombres (009)",25619,1557,702,6217,9332,1981,2609,1169,2052
"Quechua (010)",2681,199,8,1002,842,102,127,53,348
"Aymara (011)",797,61,1,360,277,39,28,15,16
"Ashaninca (012)",5,1,,2,,,,1,1
"Otra lengua nativa (013)",60,7,1,15,25,11,,1,
"Castellano (014)",21806,1279,691,4829,8181,1805,2310,1050,1661
"Idioma extranjero (015)",251,,,2,7,24,144,49,25
"Es sordomudo/a (016)",19,10,1,7,,,,,1
"Mujeres (018)",24229,2571,683,6621,7350,1796,2879,803,1526
"Quechua (019)",2599,754,8,1082,482,87,91,32,63
"Aymara (020)",817,184,1,364,201,21,27,4,15
"Ashaninca (021)",4,,,3,,,,,1
"Otra lengua nativa (022)",50,5,1,21,16,3,4,,
"Castellano (023)",20621,1610,673,5144,6651,1677,2692,741,1433
"Idioma extranjero (024)",111,,,1,,7,64,25,14
"Es sordomudo/a (025)",27,18,,6,,1,1,1,
,,,,,,,,,
"URBANA (027)",45187,3622,1282,11467,15102,3475,5076,1819,3344
"Quechua (028)",4624,808,13,1837,1157,165,181,72,391
"Aymara (029)",1398,207,2,625,419,54,49,16,26
"Ashaninca (030)",8,1,,5,,,,1,1
"Otra lengua nativa (031)",108,12,2,36,39,14,4,1,
"Castellano (032)",38647,2571,1264,8949,13480,3210,4633,1654,2886
"Idioma extranjero (033)",362,,,3,7,31,208,74,39
"Es sordomudo/a (034)",40,23,1,12,,1,1,1,1
"Hombres (036)",22852,1342,658,5499,8315,1800,2313,1042,1883
"Quechua (037)",2307,141,8,872,720,88,101,42,335
"Aymara (038)",669,47,1,301,237,33,24,12,14
"Ashaninca (039)",5,1,,2,,,,1,1
"Otra lengua nativa (040)",59,7,1,15,24,11,,1,
"Castellano (041)",19544,1138,647,4300,7327,1644,2044,937,1507
"Idioma extranjero (042)",251,,,2,7,24,144,49,25
"Es sordomudo/a (043)",17,8,1,7,,,,,1
"Mujeres (045)",22335,2280,624,5968,6787,1675,2763,777,1461
"Quechua (046)",2317,667,5,965,437,77,80,30,56
"Aymara (047)",729,160,1,324,182,21,25,4,12
"Ashaninca (048)",3,,,3,,,,,
"Otra lengua nativa (049)",49,5,1,21,15,3,4,,
"Castellano (050)",19103,1433,617,4649,6153,1566,2589,717,1379
"Idioma extranjero (051)",111,,,1,,7,64,25,14
"Es sordomudo/a (052)",23,15,,5,,1,1,1,
,,,,,,,,,
"RURAL (054)",4661,506,103,1371,1580,302,412,153,234
"Quechua (055)",656,145,3,247,167,24,37,13,20
"Aymara (056)",216,38,,99,59,6,6,3,5
"Ashaninca (057)",1,,,,,,,,1
"Otra lengua nativa (058)",2,,,,2,,,,
"Castellano (059)",3780,318,100,1024,1352,272,369,137,208
"Es sordomudo/a (061)",6,5,,1,,,,,
"Hombres (063)",2767,215,44,718,1017,181,296,127,169
"Quechua (064)",374,58,,130,122,14,26,11,13
"Aymara (065)",128,14,,59,40,6,4,3,2
"Otra lengua nativa (067)",1,,,,1,,,,
"Castellano (068)",2262,141,44,529,854,161,266,113,154
"Es sordomudo/a (070)",2,2,,,,,,,
"Mujeres (072)",1894,291,59,653,563,121,116,26,65
"Quechua (073)",282,87,3,117,45,10,11,2,7
"Aymara (074)",88,24,,40,19,,2,,3
"Ashaninca (075)",1,,,,,,,,1
"Otra lengua nativa (076)",1,,,,1,,,,
"Castellano (077)",1518,177,56,495,498,111,103,24,54
"Es sordomudo/a (079)",4,3,,1,,,,,
