"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUAROCHIRI (000)",26404,25386,7197,4064,3887,2825,3469,2057,1887,1018
"Católica (001)",22934,22045,6216,3561,3364,2465,3001,1789,1649,889
"Cristiana/Evangélica (002)",2268,2185,616,298,347,233,332,189,170,83
"Otra (003)",865,835,247,134,128,93,106,67,60,30
"Ninguna (004)",337,321,118,71,48,34,30,12,8,16
,,,,,,,,,,
"URBANA (006)",18794,18067,5309,2902,2805,2013,2433,1395,1210,727
"Católica (007)",16409,15773,4602,2572,2438,1766,2105,1228,1062,636
"Cristiana/Evangélica (008)",1666,1605,481,215,250,164,254,128,113,61
"Otra (009)",505,485,153,78,85,54,55,31,29,20
"Ninguna (010)",214,204,73,37,32,29,19,8,6,10
,,,,,,,,,,
"RURAL (012)",7610,7319,1888,1162,1082,812,1036,662,677,291
"Católica (013)",6525,6272,1614,989,926,699,896,561,587,253
"Cristiana/Evangélica (014)",602,580,135,83,97,69,78,61,57,22
"Otra (015)",360,350,94,56,43,39,51,36,31,10
"Ninguna (016)",123,117,45,34,16,5,11,4,2,6
