"CUADRO Nº 9: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA",,,,,,,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)","CAMIÓN-CISTERNA U OTRO SIMILAR",POZO,"RÍO, ACEQUIA, MANANTIAL O SIMILAR",VECINO,OTRO
,,,,,,,,,
"Provincia CAJABAMBA",,,,,,,,,
"Viviendas particulares (001)",17179,6530,5713,109,3,1518,2506,725,75
"Ocupantes presentes (002)",74046,28107,24736,467,18,6591,11257,2580,290
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",16906,6466,5699,106,3,1472,2380,705,75
"Ocupantes presentes (005)",72891,27801,24679,452,18,6384,10755,2512,290
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",7,7,,,,,,,
"Ocupantes presentes (008)",26,26,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",34,23,9,,,,,2,
"Ocupantes presentes (011)",188,137,37,,,,,14,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",32,28,4,,,,,,
"Ocupantes presentes (014)",137,120,17,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",186,,,3,,46,121,16,
"Ocupantes presentes (017)",753,,,15,,207,485,46,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2,2,,,,,,,
"Ocupantes presentes (020)",6,6,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",9,4,1,,,,2,2,
"Ocupantes presentes (023)",35,17,3,,,,7,8,
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",3,,,,,,3,,
"Ocupantes presentes (026)",10,,,,,,10,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",4145,3499,438,32,2,20,13,120,21
"Ocupantes presentes (029)",17989,15318,1936,131,12,71,42,417,62
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",4061,3435,425,32,2,20,10,116,21
"Ocupantes presentes (032)",17597,15012,1882,131,12,71,32,395,62
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",7,7,,,,,,,
"Ocupantes presentes (035)",26,26,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",34,23,9,,,,,2,
"Ocupantes presentes (038)",188,137,37,,,,,14,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",32,28,4,,,,,,
"Ocupantes presentes (041)",137,120,17,,,,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2,2,,,,,,,
"Ocupantes presentes (047)",6,6,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",6,4,,,,,,2,
"Ocupantes presentes (050)",25,17,,,,,,8,
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",3,,,,,,3,,
"Ocupantes presentes (053)",10,,,,,,10,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",13034,3031,5275,77,1,1498,2493,605,54
"Ocupantes presentes (056)",56057,12789,22800,336,6,6520,11215,2163,228
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",12845,3031,5274,74,1,1452,2370,589,54
"Ocupantes presentes (059)",55294,12789,22797,321,6,6313,10723,2117,228
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",186,,,3,,46,121,16,
"Ocupantes presentes (071)",753,,,15,,207,485,46,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,,1,,,,2,,
"Ocupantes presentes (077)",10,,3,,,,7,,
"Otro tipo",,,,,,,,,
