"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia RIOJA (000)",52141,7434,16135,13233,15339
"Asiste actualmente (001)",30512,2377,15009,9987,3139
"No asiste (002)",21629,5057,1126,3246,12200
"Hombres (004)",26675,3815,8220,6829,7811
"Asiste actualmente (005)",15623,1203,7618,5193,1609
"No asiste (006)",11052,2612,602,1636,6202
"Mujeres (008)",25466,3619,7915,6404,7528
"Asiste actualmente (009)",14889,1174,7391,4794,1530
"No asiste (010)",10577,2445,524,1610,5998
,,,,,
"URBANA (012)",36321,4949,11008,9492,10872
"Asiste actualmente (013)",22540,1736,10356,7739,2709
"No asiste (014)",13781,3213,652,1753,8163
"Hombres (016)",18441,2560,5565,4843,5473
"Asiste actualmente (017)",11414,882,5211,3976,1345
"No asiste (018)",7027,1678,354,867,4128
"Mujeres (020)",17880,2389,5443,4649,5399
"Asiste actualmente (021)",11126,854,5145,3763,1364
"No asiste (022)",6754,1535,298,886,4035
,,,,,
"RURAL (024)",15820,2485,5127,3741,4467
"Asiste actualmente (025)",7972,641,4653,2248,430
"No asiste (026)",7848,1844,474,1493,4037
"Hombres (028)",8234,1255,2655,1986,2338
"Asiste actualmente (029)",4209,321,2407,1217,264
"No asiste (030)",4025,934,248,769,2074
"Mujeres (032)",7586,1230,2472,1755,2129
"Asiste actualmente (033)",3763,320,2246,1031,166
"No asiste (034)",3823,910,226,724,1963
