"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CANAS (000)",9084,814,863,4926,135,2292,54
"Sin nivel (001)",1275,8,39,684,17,522,5
"Educación inicial (002)",7,,,1,,6,
"Primaria (003)",4109,31,346,2544,73,1101,14
"Secundaria (004)",2721,163,407,1463,34,625,29
"Superior no univ. incompleta (005)",218,94,31,76,4,12,1
"Superior no univ. completa (006)",371,248,17,87,4,14,1
"Superior univ. incompleta (007)",123,51,17,43,,8,4
"Superior univ. completa (008)",260,219,6,28,3,4,
"Hombres (010)",5801,573,784,3544,90,797,13
"Sin nivel (011)",332,2,18,261,4,47,
"Educación inicial (012)",1,,,1,,,
"Primaria (013)",2604,19,311,1893,46,332,3
"Secundaria (014)",2145,118,389,1203,30,396,9
"Superior no univ. incompleta (015)",165,65,29,62,4,5,
"Superior no univ. completa (016)",280,184,15,68,3,10,
"Superior univ. incompleta (017)",93,37,16,34,,5,1
"Superior univ. completa (018)",181,148,6,22,3,2,
"Mujeres (020)",3283,241,79,1382,45,1495,41
"Sin nivel (021)",943,6,21,423,13,475,5
"Educación inicial (022)",6,,,,,6,
"Primaria (023)",1505,12,35,651,27,769,11
"Secundaria (024)",576,45,18,260,4,229,20
"Superior no univ. incompleta (025)",53,29,2,14,,7,1
"Superior no univ. completa (026)",91,64,2,19,1,4,1
"Superior univ. incompleta (027)",30,14,1,9,,3,3
"Superior univ. completa (028)",79,71,,6,,2,
,,,,,,,
"URBANA (030)",1778,482,224,810,32,202,28
"Sin nivel (031)",122,5,12,67,5,31,2
"Educación inicial (032)",3,,,,,3,
"Primaria (033)",437,11,75,276,13,56,6
"Secundaria (034)",636,73,98,341,9,100,15
"Superior no univ. incompleta (035)",104,48,16,35,2,2,1
"Superior no univ. completa (036)",215,152,8,47,3,4,1
"Superior univ. incompleta (037)",85,39,11,28,,4,3
"Superior univ. completa (038)",176,154,4,16,,2,
"Hombres (040)",1085,310,196,480,20,72,7
"Sin nivel (041)",23,1,5,15,1,1,
"Primaria (043)",237,5,64,144,8,14,2
"Secundaria (044)",427,43,92,229,7,51,5
"Superior no univ. incompleta (045)",72,30,14,26,2,,
"Superior no univ. completa (046)",150,106,7,33,2,2,
"Superior univ. incompleta (047)",60,27,10,20,,3,
"Superior univ. completa (048)",116,98,4,13,,1,
"Mujeres (050)",693,172,28,330,12,130,21
"Sin nivel (051)",99,4,7,52,4,30,2
"Educación inicial (052)",3,,,,,3,
"Primaria (053)",200,6,11,132,5,42,4
"Secundaria (054)",209,30,6,112,2,49,10
"Superior no univ. incompleta (055)",32,18,2,9,,2,1
"Superior no univ. completa (056)",65,46,1,14,1,2,1
"Superior univ. incompleta (057)",25,12,1,8,,1,3
"Superior univ. completa (058)",60,56,,3,,1,
,,,,,,,
"RURAL (060)",7306,332,639,4116,103,2090,26
"Sin nivel (061)",1153,3,27,617,12,491,3
"Educación inicial (062)",4,,,1,,3,
"Primaria (063)",3672,20,271,2268,60,1045,8
"Secundaria (064)",2085,90,309,1122,25,525,14
"Superior no univ. incompleta (065)",114,46,15,41,2,10,
"Superior no univ. completa (066)",156,96,9,40,1,10,
"Superior univ. incompleta (067)",38,12,6,15,,4,1
"Superior univ. completa (068)",84,65,2,12,3,2,
"Hombres (070)",4716,263,588,3064,70,725,6
"Sin nivel (071)",309,1,13,246,3,46,
"Educación inicial (072)",1,,,1,,,
"Primaria (073)",2367,14,247,1749,38,318,1
"Secundaria (074)",1718,75,297,974,23,345,4
"Superior no univ. incompleta (075)",93,35,15,36,2,5,
"Superior no univ. completa (076)",130,78,8,35,1,8,
"Superior univ. incompleta (077)",33,10,6,14,,2,1
"Superior univ. completa (078)",65,50,2,9,3,1,
"Mujeres (080)",2590,69,51,1052,33,1365,20
"Sin nivel (081)",844,2,14,371,9,445,3
"Educación inicial (082)",3,,,,,3,
"Primaria (083)",1305,6,24,519,22,727,7
"Secundaria (084)",367,15,12,148,2,180,10
"Superior no univ. incompleta (085)",21,11,,5,,5,
"Superior no univ. completa (086)",26,18,1,5,,2,
"Superior univ. incompleta (087)",5,2,,1,,2,
"Superior univ. completa (088)",19,15,,3,,1,
