"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia SAN IGNACIO (000)",121183,19546,3500,66028,26494,1608,1737,786,1484
"Quechua (001)",85,22,4,44,12,1,,1,1
"Aymara (002)",27,6,5,9,6,,,,1
"Ashaninca (003)",8,2,,5,1,,,,
"Otra lengua nativa (004)",935,234,36,504,141,3,3,11,3
"Castellano (005)",119837,19072,3452,65409,26326,1604,1732,772,1470
"Idioma extranjero (006)",12,,,,,,2,1,9
"Es sordomudo/a (007)",279,210,3,57,8,,,1,
"Hombres (009)",64598,8382,1787,35929,15422,841,962,439,836
"Quechua (010)",52,8,4,28,10,1,,1,
"Aymara (011)",19,4,4,6,4,,,,1
"Ashaninca (012)",2,,,2,,,,,
"Otra lengua nativa (013)",483,87,17,252,109,3,3,9,3
"Castellano (014)",63890,8173,1761,35607,15296,837,958,428,830
"Idioma extranjero (015)",4,,,,,,1,1,2
"Es sordomudo/a (016)",148,110,1,34,3,,,,
"Mujeres (018)",56585,11164,1713,30099,11072,767,775,347,648
"Quechua (019)",33,14,,16,2,,,,1
"Aymara (020)",8,2,1,3,2,,,,
"Ashaninca (021)",6,2,,3,1,,,,
"Otra lengua nativa (022)",452,147,19,252,32,,,2,
"Castellano (023)",55947,10899,1691,29802,11030,767,774,344,640
"Idioma extranjero (024)",8,,,,,,1,,7
"Es sordomudo/a (025)",131,100,2,23,5,,,1,
,,,,,,,,,
"URBANA (027)",19362,1840,533,7325,6302,927,1053,451,931
"Quechua (028)",13,1,1,4,6,1,,,
"Aymara (029)",3,1,,1,,,,,1
"Otra lengua nativa (031)",9,2,,5,1,,1,,
"Castellano (032)",19288,1808,531,7308,6294,926,1050,450,921
"Idioma extranjero (033)",12,,,,,,2,1,9
"Es sordomudo/a (034)",37,28,1,7,1,,,,
"Hombres (036)",9893,793,273,3696,3322,458,582,243,526
"Quechua (037)",10,1,1,2,5,1,,,
"Aymara (038)",2,1,,,,,,,1
"Otra lengua nativa (040)",7,2,,4,,,1,,
"Castellano (041)",9853,776,272,3686,3317,457,580,242,523
"Idioma extranjero (042)",4,,,,,,1,1,2
"Es sordomudo/a (043)",17,13,,4,,,,,
"Mujeres (045)",9469,1047,260,3629,2980,469,471,208,405
"Quechua (046)",3,,,2,1,,,,
"Aymara (047)",1,,,1,,,,,
"Otra lengua nativa (049)",2,,,1,1,,,,
"Castellano (050)",9435,1032,259,3622,2977,469,470,208,398
"Idioma extranjero (051)",8,,,,,,1,,7
"Es sordomudo/a (052)",20,15,1,3,1,,,,
,,,,,,,,,
"RURAL (054)",101821,17706,2967,58703,20192,681,684,335,553
"Quechua (055)",72,21,3,40,6,,,1,1
"Aymara (056)",24,5,5,8,6,,,,
"Ashaninca (057)",8,2,,5,1,,,,
"Otra lengua nativa (058)",926,232,36,499,140,3,2,11,3
"Castellano (059)",100549,17264,2921,58101,20032,678,682,322,549
"Es sordomudo/a (061)",242,182,2,50,7,,,1,
"Hombres (063)",54705,7589,1514,32233,12100,383,380,196,310
"Quechua (064)",42,7,3,26,5,,,1,
"Aymara (065)",17,3,4,6,4,,,,
"Ashaninca (066)",2,,,2,,,,,
"Otra lengua nativa (067)",476,85,17,248,109,3,2,9,3
"Castellano (068)",54037,7397,1489,31921,11979,380,378,186,307
"Es sordomudo/a (070)",131,97,1,30,3,,,,
"Mujeres (072)",47116,10117,1453,26470,8092,298,304,139,243
"Quechua (073)",30,14,,14,1,,,,1
"Aymara (074)",7,2,1,2,2,,,,
"Ashaninca (075)",6,2,,3,1,,,,
"Otra lengua nativa (076)",450,147,19,251,31,,,2,
"Castellano (077)",46512,9867,1432,26180,8053,298,304,136,242
"Es sordomudo/a (079)",111,85,1,20,4,,,1,
