"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia PARURO (000)",17284,16618,666
"Hombres (001)",8605,8356,249
"Mujeres (002)",8679,8262,417
"De 18 a 29 años (003)",4136,3962,174
"Hombres (004)",2110,2009,101
"Mujeres (005)",2026,1953,73
"De 30 a 44 años (006)",5551,5484,67
"Hombres (007)",2777,2753,24
"Mujeres (008)",2774,2731,43
"De 45 a 64 años (009)",4818,4678,140
"Hombres (010)",2434,2390,44
"Mujeres (011)",2384,2288,96
"De 65 y más años (012)",2779,2494,285
"Hombres (013)",1284,1204,80
"Mujeres (014)",1495,1290,205
,,,
"URBANA (015)",6232,5982,250
"Hombres (016)",3068,2984,84
"Mujeres (017)",3164,2998,166
"De 18 a 29 años (018)",1396,1324,72
"Hombres (019)",706,673,33
"Mujeres (020)",690,651,39
"De 30 a 44 años (021)",2015,1987,28
"Hombres (022)",994,985,9
"Mujeres (023)",1021,1002,19
"De 45 a 64 años (024)",1729,1689,40
"Hombres (025)",870,857,13
"Mujeres (026)",859,832,27
"De 65 y más años (027)",1092,982,110
"Hombres (028)",498,469,29
"Mujeres (029)",594,513,81
,,,
"RURAL (030)",11052,10636,416
"Hombres (031)",5537,5372,165
"Mujeres (032)",5515,5264,251
"De 18 a 29 años (033)",2740,2638,102
"Hombres (034)",1404,1336,68
"Mujeres (035)",1336,1302,34
"De 30 a 44 años (036)",3536,3497,39
"Hombres (037)",1783,1768,15
"Mujeres (038)",1753,1729,24
"De 45 a 64 años (039)",3089,2989,100
"Hombres (040)",1564,1533,31
"Mujeres (041)",1525,1456,69
"De 65 y más años (042)",1687,1512,175
"Hombres (043)",786,735,51
"Mujeres (044)",901,777,124
