"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TARMA (000)",1836,37,982,485,280,52
"Sin nivel (001)",58,2,15,12,19,10
"Educación inicial (002)",4,,3,1,,
"Primaria (003)",430,27,166,102,107,28
"Secundaria (004)",757,8,457,185,99,8
"Superior no univ. incompleta (005)",129,,84,35,9,1
"Superior no univ. completa (006)",208,,122,65,18,3
"Superior univ. incompleta (007)",72,,44,20,7,1
"Superior univ. completa (008)",178,,91,65,21,1
"Hombres (010)",1190,19,592,313,221,45
"Sin nivel (011)",34,2,11,7,7,7
"Educación inicial (012)",3,,3,,,
"Primaria (013)",301,14,104,74,84,25
"Secundaria (014)",521,3,292,135,84,7
"Superior no univ. incompleta (015)",87,,58,20,8,1
"Superior no univ. completa (016)",111,,62,31,15,3
"Superior univ. incompleta (017)",47,,27,13,6,1
"Superior univ. completa (018)",86,,35,33,17,1
"Mujeres (020)",646,18,390,172,59,7
"Sin nivel (021)",24,,4,5,12,3
"Educación inicial (022)",1,,,1,,
"Primaria (023)",129,13,62,28,23,3
"Secundaria (024)",236,5,165,50,15,1
"Superior no univ. incompleta (025)",42,,26,15,1,
"Superior no univ. completa (026)",97,,60,34,3,
"Superior univ. incompleta (027)",25,,17,7,1,
"Superior univ. completa (028)",92,,56,32,4,
,,,,,,
"Area Urbana (030)",1479,21,776,413,231,38
"Sin nivel (031)",42,2,13,9,12,6
"Educación inicial (032)",4,,3,1,,
"Primaria (033)",287,12,102,74,80,19
"Secundaria (034)",601,7,347,154,86,7
"Superior no univ. incompleta (035)",117,,74,33,9,1
"Superior no univ. completa (036)",189,,111,58,17,3
"Superior univ. incompleta (037)",69,,41,20,7,1
"Superior univ. completa (038)",170,,85,64,20,1
"Hombres (040)",954,9,466,259,186,34
"Sin nivel (041)",25,2,10,4,4,5
"Educación inicial (042)",3,,3,,,
"Primaria (043)",201,5,62,52,65,17
"Secundaria (044)",415,2,223,111,73,6
"Superior no univ. incompleta (045)",79,,51,19,8,1
"Superior no univ. completa (046)",103,,58,28,14,3
"Superior univ. incompleta (047)",45,,25,13,6,1
"Superior univ. completa (048)",83,,34,32,16,1
"Mujeres (050)",525,12,310,154,45,4
"Sin nivel (051)",17,,3,5,8,1
"Educación inicial (052)",1,,,1,,
"Primaria (053)",86,7,40,22,15,2
"Secundaria (054)",186,5,124,43,13,1
"Superior no univ. incompleta (055)",38,,23,14,1,
"Superior no univ. completa (056)",86,,53,30,3,
"Superior univ. incompleta (057)",24,,16,7,1,
"Superior univ. completa (058)",87,,51,32,4,
,,,,,,
"Area Rural (060)",357,16,206,72,49,14
"Sin nivel (061)",16,,2,3,7,4
"Primaria (063)",143,15,64,28,27,9
"Secundaria (064)",156,1,110,31,13,1
"Superior no univ. incompleta (065)",12,,10,2,,
"Superior no univ. completa (066)",19,,11,7,1,
"Superior univ. incompleta (067)",3,,3,,,
"Superior univ. completa (068)",8,,6,1,1,
"Hombres (070)",236,10,126,54,35,11
"Sin nivel (071)",9,,1,3,3,2
"Primaria (073)",100,9,42,22,19,8
"Secundaria (074)",106,1,69,24,11,1
"Superior no univ. incompleta (075)",8,,7,1,,
"Superior no univ. completa (076)",8,,4,3,1,
"Superior univ. incompleta (077)",2,,2,,,
"Superior univ. completa (078)",3,,1,1,1,
"Mujeres (080)",121,6,80,18,14,3
"Sin nivel (081)",7,,1,,4,2
"Primaria (083)",43,6,22,6,8,1
"Secundaria (084)",50,,41,7,2,
"Superior no univ. incompleta (085)",4,,3,1,,
"Superior no univ. completa (086)",11,,7,4,,
"Superior univ. incompleta (087)",1,,1,,,
"Superior univ. completa (088)",5,,5,,,
