"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia CHINCHA (000)",147681,19785,29096,31598,24728,17725,24749
"Conviviente (001)",24682,371,6472,8966,4830,2321,1722
"Separado(a) (002)",5771,36,511,1409,1488,1173,1154
"Casado(a) (003)",58728,64,3349,13094,14903,11710,15608
"Viudo(a) (004)",5381,4,22,116,292,621,4326
"Divorciado(a) (005)",628,,15,77,148,172,216
"Soltero(a) (006)",52491,19310,18727,7936,3067,1728,1723
"Hombres (008)",72150,10098,14414,15466,11811,8418,11943
"Conviviente (009)",12104,122,2656,4491,2554,1273,1008
"Separado(a) (010)",1617,9,119,368,401,347,373
"Casado(a) (011)",28855,24,1183,6015,7228,5839,8566
"Viudo(a) (012)",1455,1,9,28,64,123,1230
"Divorciado(a) (013)",243,,6,25,52,66,94
"Soltero(a) (014)",27876,9942,10441,4539,1512,770,672
"Mujeres (016)",75531,9687,14682,16132,12917,9307,12806
"Conviviente (017)",12578,249,3816,4475,2276,1048,714
"Separado(a) (018)",4154,27,392,1041,1087,826,781
"Casado(a) (019)",29873,40,2166,7079,7675,5871,7042
"Viudo(a) (020)",3926,3,13,88,228,498,3096
"Divorciado(a) (021)",385,,9,52,96,106,122
"Soltero(a) (022)",24615,9368,8286,3397,1555,958,1051
,,,,,,,
"URBANA (024)",131301,17659,25800,28236,22157,15670,21779
"Conviviente (025)",21684,325,5627,7982,4300,1975,1475
"Separado(a) (026)",5297,35,461,1307,1359,1079,1056
"Casado(a) (027)",52162,59,2972,11687,13390,10345,13709
"Viudo(a) (028)",4729,3,21,100,248,557,3800
"Divorciado(a) (029)",593,,14,71,142,166,200
"Soltero(a) (030)",46836,17237,16705,7089,2718,1548,1539
"Hombres (032)",63911,8999,12781,13790,10527,7386,10428
"Conviviente (033)",10635,110,2321,3999,2261,1081,863
"Separado(a) (034)",1484,9,113,343,366,312,341
"Casado(a) (035)",25587,22,1064,5365,6480,5143,7513
"Viudo(a) (036)",1246,1,9,26,54,112,1044
"Divorciado(a) (037)",227,,5,24,48,64,86
"Soltero(a) (038)",24732,8857,9269,4033,1318,674,581
"Mujeres (040)",67390,8660,13019,14446,11630,8284,11351
"Conviviente (041)",11049,215,3306,3983,2039,894,612
"Separado(a) (042)",3813,26,348,964,993,767,715
"Casado(a) (043)",26575,37,1908,6322,6910,5202,6196
"Viudo(a) (044)",3483,2,12,74,194,445,2756
"Divorciado(a) (045)",366,,9,47,94,102,114
"Soltero(a) (046)",22104,8380,7436,3056,1400,874,958
,,,,,,,
"RURAL (048)",16380,2126,3296,3362,2571,2055,2970
"Conviviente (049)",2998,46,845,984,530,346,247
"Separado(a) (050)",474,1,50,102,129,94,98
"Casado(a) (051)",6566,5,377,1407,1513,1365,1899
"Viudo(a) (052)",652,1,1,16,44,64,526
"Divorciado(a) (053)",35,,1,6,6,6,16
"Soltero(a) (054)",5655,2073,2022,847,349,180,184
"Hombres (056)",8239,1099,1633,1676,1284,1032,1515
"Conviviente (057)",1469,12,335,492,293,192,145
"Separado(a) (058)",133,,6,25,35,35,32
"Casado(a) (059)",3268,2,119,650,748,696,1053
"Viudo(a) (060)",209,,,2,10,11,186
"Divorciado(a) (061)",16,,1,1,4,2,8
"Soltero(a) (062)",3144,1085,1172,506,194,96,91
"Mujeres (064)",8141,1027,1663,1686,1287,1023,1455
"Conviviente (065)",1529,34,510,492,237,154,102
"Separado(a) (066)",341,1,44,77,94,59,66
"Casado(a) (067)",3298,3,258,757,765,669,846
"Viudo(a) (068)",443,1,1,14,34,53,340
"Divorciado(a) (069)",19,,,5,2,4,8
"Soltero(a) (070)",2511,988,850,341,155,84,93
