"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia JAUJA (000)",86371,9051,2162,30601,29146,4023,4723,2558,4107
"Jefe o Jefa (001)",24014,1936,5,8564,8419,990,1559,701,1840
"Esposa(o)/ compa¤era(o) (002)",13430,1378,9,5525,4346,489,850,223,610
"Hijo(a)/ hijastro(a) (003)",36825,3570,1600,12538,12754,1996,1818,1284,1265
"Yerno/ nuera (004)",1311,17,,159,653,131,165,63,123
"Nieto(a) (005)",5052,1055,439,1934,1245,147,74,123,35
"Padres/ suegros (006)",1197,505,,536,127,6,8,4,11
"Otro(a) pariente (007)",3767,511,98,1135,1316,206,200,127,174
"Trabajador(a) del hogar (008)",52,6,,16,28,,2,,
"Pensionista (009)",15,1,,1,7,2,,2,2
"Otro(a) no pariente (010)",708,72,11,193,251,56,47,31,47
"Hombres (012)",41242,2991,1101,13612,15732,2045,2105,1422,2234
"Jefe o Jefa (013)",15959,339,1,5275,6572,748,1085,551,1388
"Esposa(o)/ compa¤era(o) (014)",820,42,,221,357,44,62,32,62
"Hijo(a)/ hijastro(a) (015)",18566,1781,817,6204,6843,992,732,640,557
"Yerno/ nuera (016)",579,6,,46,286,62,73,33,73
"Nieto(a) (017)",2674,535,232,1013,713,61,37,66,17
"Padres/ suegros (018)",304,37,,188,64,3,1,2,9
"Otro(a) pariente (019)",1954,222,44,574,750,105,90,75,94
"Trabajador(a) del hogar (020)",15,3,,3,9,,,,
"Pensionista (021)",11,,,1,5,1,,2,2
"Otro(a) no pariente (022)",360,26,7,87,133,29,25,21,32
"Mujeres (024)",45129,6060,1061,16989,13414,1978,2618,1136,1873
"Jefe o Jefa (025)",8055,1597,4,3289,1847,242,474,150,452
"Esposa(o)/ compa¤era(o) (026)",12610,1336,9,5304,3989,445,788,191,548
"Hijo(a)/ hijastro(a) (027)",18259,1789,783,6334,5911,1004,1086,644,708
"Yerno/ nuera (028)",732,11,,113,367,69,92,30,50
"Nieto(a) (029)",2378,520,207,921,532,86,37,57,18
"Padres/ suegros (030)",893,468,,348,63,3,7,2,2
"Otro(a) pariente (031)",1813,289,54,561,566,101,110,52,80
"Trabajador(a) del hogar (032)",37,3,,13,19,,2,,
"Pensionista (033)",4,1,,,2,1,,,
"Otro(a) no pariente (034)",348,46,4,106,118,27,22,10,15
,,,,,,,,,
"URBANA (036)",60043,5796,1444,18572,20530,3444,4194,2281,3782
"Jefe o Jefa (037)",16837,1224,5,5121,5896,864,1415,609,1703
"Esposa(o)/ compa¤era(o) (038)",9181,820,7,3143,3211,446,784,201,569
"Hijo(a)/ hijastro(a) (039)",25116,2225,1043,7600,8718,1649,1566,1160,1155
"Yerno/ nuera (040)",940,10,,79,436,109,140,58,108
"Nieto(a) (041)",3666,755,318,1337,930,125,61,110,30
"Padres/ suegros (042)",903,367,,399,112,5,7,2,11
"Otro(a) pariente (043)",2774,338,62,741,992,191,176,109,165
"Trabajador(a) del hogar (044)",41,4,,14,21,,2,,
"Pensionista (045)",15,1,,1,7,2,,2,2
