"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUANCAVELICA (000)",33548,141005,14318,58144,19230,82861
"Casa independiente (001)",29398,126663,11790,49531,17608,77132
"Departamento en edificio (002)",116,330,116,330,,
"Vivienda en quinta (003)",505,1652,505,1652,,
"Vivienda en casa de vecindad (004)",1842,6410,1842,6410,,
"Choza o cabaña (005)",1614,5706,,,1614,5706
"Vivienda improvisada (006)",17,57,17,57,,
"Local no dest.para hab. humana (007)",53,174,46,152,7,22
"Otro tipo (008)",3,13,2,12,1,1
