"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PAUCAR DEL SARA SARA (000)",164,1,72,52,29,10
"Conviviente (001)",50,,17,26,6,1
"Separado(a) (002)",7,,2,3,2,
"Casado(a) (003)",35,,3,12,15,5
"Viudo(a) (004)",4,,1,,2,1
"Soltero(a) (006)",68,1,49,11,4,3
"Hombres (008)",131,1,52,43,25,10
"Conviviente (009)",40,,14,21,4,1
"Separado(a) (010)",3,,,2,1,
"Casado(a) (011)",34,,2,12,15,5
"Viudo(a) (012)",2,,,,1,1
"Soltero(a) (014)",52,1,36,8,4,3
"Mujeres (016)",33,,20,9,4,
"Conviviente (017)",10,,3,5,2,
"Separado(a) (018)",4,,2,1,1,
"Casado(a) (019)",1,,1,,,
"Viudo(a) (020)",2,,1,,1,
"Soltero(a) (022)",16,,13,3,,
,,,,,,
"AREA URBANA (024)",73,1,38,17,12,5
"Conviviente (025)",15,,5,7,2,1
"Separado(a) (026)",7,,2,3,2,
"Casado(a) (027)",11,,,4,5,2
"Viudo(a) (028)",3,,1,,1,1
"Soltero(a) (030)",37,1,30,3,2,1
"Hombres (032)",57,1,24,16,11,5
"Conviviente (033)",15,,5,7,2,1
"Separado(a) (034)",3,,,2,1,
"Casado(a) (035)",11,,,4,5,2
"Viudo(a) (036)",2,,,,1,1
"Soltero(a) (038)",26,1,19,3,2,1
"Mujeres (040)",16,,14,1,1,
"Separado(a) (042)",4,,2,1,1,
"Viudo(a) (044)",1,,1,,,
"Soltero(a) (046)",11,,11,,,
,,,,,,
"AREA RURAL (048)",91,,34,35,17,5
"Conviviente (049)",35,,12,19,4,
"Casado(a) (051)",24,,3,8,10,3
"Viudo(a) (052)",1,,,,1,
"Soltero(a) (054)",31,,19,8,2,2
"Hombres (056)",74,,28,27,14,5
"Conviviente (057)",25,,9,14,2,
"Casado(a) (059)",23,,2,8,10,3
"Soltero(a) (062)",26,,17,5,2,2
"Mujeres (064)",17,,6,8,3,
"Conviviente (065)",10,,3,5,2,
"Casado(a) (067)",1,,1,,,
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",5,,2,3,,
