"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia TARMA (000)",26987,22582,4405
"Red pública dentro de la vivienda (001)",13973,13087,886
"Red pública fuera de la vivienda (002)",1890,1747,143
"Pilón de uso público (003)",413,348,65
"Camión - cisterna u otro similar (004)",14,12,2
"Pozo (005)",757,435,322
"Río, acequia, manatial o similar (006)",9038,6406,2632
"Vecino (007)",718,432,286
"Otro (008)",184,115,69
,,,
"URBANA (010)",16928,15357,1571
"Red pública dentro de la vivienda (011)",10410,9844,566
"Red pública fuera de la vivienda (012)",1581,1454,127
"Pilón de uso público (013)",171,137,34
"Camión - cisterna u otro similar (014)",7,6,1
"Pozo (015)",219,161,58
"Río, acequia, manatial o similar (016)",4019,3432,587
"Vecino (017)",376,230,146
"Otro (018)",145,93,52
,,,
"RURAL (020)",10059,7225,2834
"Red pública dentro de la vivienda (021)",3563,3243,320
"Red pública fuera de la vivienda (022)",309,293,16
"Pilón de uso público (023)",242,211,31
"Camión - cisterna u otro similar (024)",7,6,1
"Pozo (025)",538,274,264
"Río, acequia, manatial o similar (026)",5019,2974,2045
"Vecino (027)",342,202,140
"Otro (028)",39,22,17
