"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia DOS DE MAYO",,,,
"Viviendas particulares (001)",4182,3238,383,561
"Ocupantes presentes (002)",18740,14429,1757,2554
"Casa independiente",,,,
"Viviendas particulares (004)",4029,3186,377,466
"Ocupantes presentes (005)",18144,14240,1730,2174
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",24,22,2,
"Ocupantes presentes (011)",80,76,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",39,29,2,8
"Ocupantes presentes (014)",119,103,6,10
"Choza o cabaña",,,,
"Viviendas particulares (016)",87,,,87
"Ocupantes presentes (017)",370,,,370
"Vivienda improvisada",,,,
"Viviendas particulares (019)",2,,2,
"Ocupantes presentes (020)",17,,17,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",1,1,,
"Ocupantes presentes (023)",10,10,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3832,2947,341,544
"Ocupantes presentes (029)",17144,13125,1550,2469
"Casa independiente",,,,
"Viviendas particulares (031)",3684,2898,335,451
"Ocupantes presentes (032)",16565,12946,1523,2096
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",23,21,2,
"Ocupantes presentes (038)",79,75,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",37,27,2,8
"Ocupantes presentes (041)",110,94,6,10
"Choza o cabaña",,,,
"Viviendas particulares (043)",85,,,85
"Ocupantes presentes (044)",363,,,363
"Vivienda improvisada",,,,
"Viviendas particulares (046)",2,,2,
"Ocupantes presentes (047)",17,,17,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",1,1,,
"Ocupantes presentes (050)",10,10,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",350,291,42,17
"Ocupantes presentes (056)",1596,1304,207,85
"Casa independiente",,,,
"Viviendas particulares (058)",345,288,42,15
"Ocupantes presentes (059)",1579,1294,207,78
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (064)",1,1,,
"Ocupantes presentes (065)",1,1,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",2,2,,
"Ocupantes presentes (068)",9,9,,
"Choza o cabaña",,,,
"Viviendas particulares (070)",2,,,2
"Ocupantes presentes (071)",7,,,7
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",2917,2556,247,114
"Ocupantes presentes (110)",12774,11198,1053,523
"Casa independiente",,,,
"Viviendas particulares (112)",2851,2504,241,106
"Ocupantes presentes (113)",12548,11009,1026,513
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",24,22,2,
"Ocupantes presentes (119)",80,76,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",39,29,2,8
"Ocupantes presentes (122)",119,103,6,10
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",2,,2,
"Ocupantes presentes (128)",17,,17,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",1,1,,
"Ocupantes presentes (131)",10,10,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",2643,2329,209,105
"Ocupantes presentes (137)",11577,10226,869,482
"Casa independiente",,,,
"Viviendas particulares (139)",2580,2280,203,97
"Ocupantes presentes (140)",11361,10047,842,472
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",23,21,2,
"Ocupantes presentes (146)",79,75,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",37,27,2,8
"Ocupantes presentes (149)",110,94,6,10
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",2,,2,
"Ocupantes presentes (155)",17,,17,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",1,1,,
"Ocupantes presentes (158)",10,10,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",274,227,38,9
"Ocupantes presentes (164)",1197,972,184,41
"Casa independiente",,,,
"Viviendas particulares (166)",271,224,38,9
"Ocupantes presentes (167)",1187,962,184,41
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (172)",1,1,,
"Ocupantes presentes (173)",1,1,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",2,2,,
"Ocupantes presentes (176)",9,9,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1265,682,136,447
"Ocupantes presentes (218)",5966,3231,704,2031
"Casa independiente",,,,
"Viviendas particulares (220)",1178,682,136,360
"Ocupantes presentes (221)",5596,3231,704,1661
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",87,,,87
"Ocupantes presentes (233)",370,,,370
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1189,618,132,439
"Ocupantes presentes (245)",5567,2899,681,1987
"Casa independiente",,,,
"Viviendas particulares (247)",1104,618,132,354
"Ocupantes presentes (248)",5204,2899,681,1624
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",85,,,85
"Ocupantes presentes (260)",363,,,363
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",76,64,4,8
"Ocupantes presentes (272)",399,332,23,44
"Casa independiente",,,,
"Viviendas particulares (274)",74,64,4,6
"Ocupantes presentes (275)",392,332,23,37
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (286)",2,,,2
"Ocupantes presentes (287)",7,,,7
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
