"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JULCAN (000)",7873,7484,200,97,92
"Empleado (001)",483,271,71,62,79
"Obrero (002)",468,386,37,35,10
"Trabajador independiente (003)",5363,5287,76,,
"Empleador o patrono (004)",43,40,3,,
"Trabajador familiar no remunerado (005)",1450,1434,13,,3
"Trabajador del hogar (006)",66,66,,,
"De 06 a 14 años (008)",175,170,5,,
"Empleado (009)",4,4,,,
"Obrero (010)",11,11,,,
"Trabajador independiente (011)",40,38,2,,
"Trabajador familiar no remunerado (013)",117,114,3,,
"Trabajador del hogar (014)",3,3,,,
"De 15 a 29 años (016)",2594,2466,69,26,33
"Empleado (017)",149,86,24,13,26
"Obrero (018)",179,146,16,13,4
"Trabajador independiente (019)",1336,1312,24,,
"Empleador o patrono (020)",2,1,1,,
"Trabajador familiar no remunerado (021)",894,887,4,,3
"Trabajador del hogar (022)",34,34,,,
"De 30 a 44 años (024)",2569,2407,76,41,45
"Empleado (025)",218,119,30,30,39
"Obrero (026)",162,131,14,11,6
"Trabajador independiente (027)",1899,1871,28,,
"Empleador o patrono (028)",21,21,,,
"Trabajador familiar no remunerado (029)",256,252,4,,
"Trabajador del hogar (030)",13,13,,,
"De 45 a 64 años (032)",1786,1704,42,26,14
"Empleado (033)",97,49,15,19,14
"Obrero (034)",88,76,5,7,
"Trabajador independiente (035)",1444,1425,19,,
"Empleador o patrono (036)",10,9,1,,
"Trabajador familiar no remunerado (037)",132,130,2,,
"Trabajador del hogar (038)",15,15,,,
"De 65 y más años (040)",749,737,8,4,
"Empleado (041)",15,13,2,,
"Obrero (042)",28,22,2,4,
"Trabajador independiente (043)",644,641,3,,
"Empleador o patrono (044)",10,9,1,,
"Trabajador familiar no remunerado (045)",51,51,,,
"Trabajador del hogar (046)",1,1,,,
,,,,,
"URBANA (048)",1164,961,79,57,67
"Empleado (049)",241,99,38,43,61
"Obrero (050)",176,138,18,14,6
"Trabajador independiente (051)",619,600,19,,
"Empleador o patrono (052)",26,24,2,,
"Trabajador familiar no remunerado (053)",76,74,2,,
"Trabajador del hogar (054)",26,26,,,
"De 06 a 14 años (056)",28,27,1,,
"Empleado (057)",3,3,,,
"Obrero (058)",5,5,,,
"Trabajador independiente (059)",10,9,1,,
