"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia UCAYALI (000)",13386,631,7570,2634,609,195,106,38,1,,1602
"Sin Nivel (001)",705,63,412,83,26,14,6,5,,,96
"Educación Inicial (002)",13,2,7,1,,,,,,,3
"Primaria (003)",6943,456,4363,1041,223,80,54,23,,,703
"Secundaria (004)",4381,104,2443,978,185,50,27,8,1,,585
"Sup. no Univ. Incompleta (005)",311,3,95,116,38,11,1,1,,,46
"Sup. no Univ. Completa (006)",646,3,165,266,84,26,10,1,,,91
"Sup. Univ. Incompleta (007)",129,,27,52,13,1,,,,,36
"Sup. Univ. Completa (008)",258,,58,97,40,13,8,,,,42
,,,,,,,,,,,
"URBANA (010)",7543,252,4006,1718,399,134,82,21,1,,930
"Sin Nivel (011)",241,23,127,25,9,5,2,1,,,49
"Educación Inicial (012)",11,2,5,1,,,,,,,3
"Primaria (013)",3317,166,2023,590,113,52,42,10,,,321
"Secundaria (014)",2895,57,1580,674,135,39,21,8,1,,380
"Sup. no Univ. Incompleta (015)",253,3,73,96,33,9,,1,,,38
"Sup. no Univ. Completa (016)",493,1,125,202,64,20,10,1,,,70
"Sup. Univ. Incompleta (017)",119,,24,50,12,1,,,,,32
"Sup. Univ. Completa (018)",214,,49,80,33,8,7,,,,37
,,,,,,,,,,,
"RURAL (020)",5843,379,3564,916,210,61,24,17,,,672
"Sin Nivel (021)",464,40,285,58,17,9,4,4,,,47
"Educación Inicial (022)",2,,2,,,,,,,,
"Primaria (023)",3626,290,2340,451,110,28,12,13,,,382
"Secundaria (024)",1486,47,863,304,50,11,6,,,,205
"Sup. no Univ. Incompleta (025)",58,,22,20,5,2,1,,,,8
"Sup. no Univ. Completa (026)",153,2,40,64,20,6,,,,,21
"Sup. Univ. Incompleta (027)",10,,3,2,1,,,,,,4
"Sup. Univ. Completa (028)",44,,9,17,7,5,1,,,,5
