"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia HUAROCHIRI",,,,,,,,,
"Hogares (001)",19199,994,450,235,177,88,65,67,17123
"Ocupantes presentes (002)",69102,3506,1536,811,653,350,304,345,61597
"Casa independiente",,,,,,,,,
"Hogares (004)",17409,945,432,223,165,83,62,64,15435
"Ocupantes presentes (005)",63469,3385,1493,779,607,328,289,336,56252
"Departamento en edificio",,,,,,,,,
"Hogares (007)",195,8,2,,1,1,1,,182
"Ocupantes presentes (008)",605,18,2,,3,2,2,,578
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",456,11,4,3,2,2,,1,433
"Ocupantes presentes (011)",1444,35,7,8,5,10,,1,1378
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",414,17,7,6,4,,2,1,377
"Ocupantes presentes (014)",1522,41,27,15,19,,13,3,1404
"Choza o cabaña",,,,,,,,,
"Hogares (016)",510,4,,1,2,,,1,502
"Ocupantes presentes (017)",1377,5,,3,10,,,5,1354
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",162,8,3,2,3,1,,,145
"Ocupantes presentes (020)",515,21,5,6,9,5,,,469
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",40,1,2,,,1,,,36
"Ocupantes presentes (023)",128,1,2,,,5,,,120
"Otro tipo",,,,,,,,,
"Hogares (025)",13,,,,,,,,13
"Ocupantes presentes (026)",42,,,,,,,,42
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",12801,765,338,185,146,63,48,52,11204
"Ocupantes presentes (029)",47675,2805,1212,669,541,267,226,280,41675
"Casa independiente",,,,,,,,,
"Hogares (031)",11543,720,320,174,136,58,45,50,10040
"Ocupantes presentes (032)",43493,2689,1169,640,505,245,211,276,37758
"Departamento en edificio",,,,,,,,,
"Hogares (034)",195,8,2,,1,1,1,,182
"Ocupantes presentes (035)",605,18,2,,3,2,2,,578
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",456,11,4,3,2,2,,1,433
"Ocupantes presentes (038)",1444,35,7,8,5,10,,1,1378
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",414,17,7,6,4,,2,1,377
"Ocupantes presentes (041)",1522,41,27,15,19,,13,3,1404
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",162,8,3,2,3,1,,,145
"Ocupantes presentes (047)",515,21,5,6,9,5,,,469
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",27,1,2,,,1,,,23
"Ocupantes presentes (050)",87,1,2,,,5,,,79
"Otro tipo",,,,,,,,,
"Hogares (052)",4,,,,,,,,4
"Ocupantes presentes (053)",9,,,,,,,,9
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",6398,229,112,50,31,25,17,15,5919
"Ocupantes presentes (056)",21427,701,324,142,112,83,78,65,19922
"Casa independiente",,,,,,,,,
"Hogares (058)",5866,225,112,49,29,25,17,14,5395
"Ocupantes presentes (059)",19976,696,324,139,102,83,78,60,18494
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",510,4,,1,2,,,1,502
"Ocupantes presentes (071)",1377,5,,3,10,,,5,1354
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",13,,,,,,,,13
"Ocupantes presentes (077)",41,,,,,,,,41
"Otro tipo",,,,,,,,,
"Hogares (079)",9,,,,,,,,9
"Ocupantes presentes (080)",33,,,,,,,,33
