"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia MOHO (000)",26447,5137,767,11763,7565,347,339,219,310
"Quechua (001)",146,10,1,40,53,12,11,5,14
"Aymara (002)",22592,4592,552,10440,6204,236,225,136,207
"Ashaninca (003)",41,13,,19,6,1,1,1,
"Otra lengua nativa (004)",3,,1,1,1,,,,
"Castellano (005)",3624,486,212,1260,1300,98,102,77,89
"Es sordomudo/a (007)",41,36,1,3,1,,,,
"Hombres (009)",12983,1614,359,5625,4499,248,240,162,236
"Quechua (010)",74,2,,18,25,9,4,5,11
"Aymara (011)",10917,1334,256,4958,3753,178,176,97,165
"Ashaninca (012)",27,7,,15,4,,1,,
"Otra lengua nativa (013)",1,,,1,,,,,
"Castellano (014)",1946,254,103,632,717,61,59,60,60
"Es sordomudo/a (016)",18,17,,1,,,,,
"Mujeres (018)",13464,3523,408,6138,3066,99,99,57,74
"Quechua (019)",72,8,1,22,28,3,7,,3
"Aymara (020)",11675,3258,296,5482,2451,58,49,39,42
"Ashaninca (021)",14,6,,4,2,1,,1,
"Otra lengua nativa (022)",2,,1,,1,,,,
"Castellano (023)",1678,232,109,628,583,37,43,17,29
"Es sordomudo/a (025)",23,19,1,2,1,,,,
,,,,,,,,,
"URBANA (027)",7560,1092,232,2753,2739,203,209,151,181
"Quechua (028)",71,6,,11,21,9,9,5,10
"Aymara (029)",5700,909,129,2174,2040,118,131,88,111
"Ashaninca (030)",21,5,,10,4,1,1,,
"Otra lengua nativa (031)",1,,,,1,,,,
"Castellano (032)",1762,168,103,557,673,75,68,58,60
"Es sordomudo/a (034)",5,4,,1,,,,,
"Hombres (036)",3900,401,108,1308,1562,133,144,110,134
"Quechua (037)",40,2,,3,11,7,4,5,8
"Aymara (038)",2901,305,60,1023,1186,83,100,61,83
"Ashaninca (039)",16,3,,9,3,,1,,
"Castellano (041)",940,89,48,272,362,43,39,44,43
"Es sordomudo/a (043)",3,2,,1,,,,,
"Mujeres (045)",3660,691,124,1445,1177,70,65,41,47
"Quechua (046)",31,4,,8,10,2,5,,2
"Aymara (047)",2799,604,69,1151,854,35,31,27,28
"Ashaninca (048)",5,2,,1,1,1,,,
"Otra lengua nativa (049)",1,,,,1,,,,
"Castellano (050)",822,79,55,285,311,32,29,14,17
"Es sordomudo/a (052)",2,2,,,,,,,
,,,,,,,,,
"RURAL (054)",18887,4045,535,9010,4826,144,130,68,129
"Quechua (055)",75,4,1,29,32,3,2,,4
"Aymara (056)",16892,3683,423,8266,4164,118,94,48,96
"Ashaninca (057)",20,8,,9,2,,,1,
"Otra lengua nativa (058)",2,,1,1,,,,,
"Castellano (059)",1862,318,109,703,627,23,34,19,29
"Es sordomudo/a (061)",36,32,1,2,1,,,,
"Hombres (063)",9083,1213,251,4317,2937,115,96,52,102
"Quechua (064)",34,,,15,14,2,,,3
"Aymara (065)",8016,1029,196,3935,2567,95,76,36,82
"Ashaninca (066)",11,4,,6,1,,,,
"Otra lengua nativa (067)",1,,,1,,,,,
"Castellano (068)",1006,165,55,360,355,18,20,16,17
"Es sordomudo/a (070)",15,15,,,,,,,
"Mujeres (072)",9804,2832,284,4693,1889,29,34,16,27
"Quechua (073)",41,4,1,14,18,1,2,,1
"Aymara (074)",8876,2654,227,4331,1597,23,18,12,14
"Ashaninca (075)",9,4,,3,1,,,1,
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",856,153,54,343,272,5,14,3,12
"Es sordomudo/a (079)",21,17,1,2,1,,,,
