"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia HUARI (000)",14421,59801,5144,21810,9277,37991
"Casa independiente (001)",13871,57875,5087,21579,8784,36296
"Departamento en edificio (002)",10,46,10,46,,
"Vivienda en quinta (003)",10,30,10,30,,
"Vivienda en casa de vecindad (004)",19,99,19,99,,
"Choza o cabaña (005)",491,1691,,,491,1691
"Vivienda improvisada (006)",3,4,3,4,,
"Local no dest.para hab. humana (007)",12,45,10,41,2,4
"Otro tipo (008)",5,11,5,11,,
