"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia JUNIN (000)",30187,454,9039,7521,5453,4898,2822
"Hombres (001)",14594,218,4624,3646,2486,2330,1290
"Mujeres (002)",15593,236,4415,3875,2967,2568,1532
"Viviendas particulares (003)",29950,452,9021,7458,5379,4827,2813
"Hombres (004)",14414,218,4615,3609,2423,2266,1283
"Mujeres (005)",15536,234,4406,3849,2956,2561,1530
"Viviendas colectivas (006)",110,,,23,40,45,2
"Hombres (007)",100,,,17,37,44,2
"Mujeres (008)",10,,,6,3,1,
"Otro tipo (009)",127,2,18,40,34,26,7
"Hombres (010)",80,,9,20,26,20,5
"Mujeres (011)",47,2,9,20,8,6,2
,,,,,,,
"URBANA (012)",21215,293,6353,5465,3936,3315,1853
"Hombres (013)",10021,139,3260,2582,1726,1512,802
"Mujeres (014)",11194,154,3093,2883,2210,1803,1051
"Viviendas particulares (015)",21080,293,6350,5424,3884,3280,1849
"Hombres (016)",9905,139,3258,2551,1678,1480,799
"Mujeres (017)",11175,154,3092,2873,2206,1800,1050
"Viviendas colectivas (018)",74,,,23,30,19,2
"Hombres (019)",64,,,17,27,18,2
"Mujeres (020)",10,,,6,3,1,
"Otro tipo (021)",61,,3,18,22,16,2
"Hombres (022)",52,,2,14,21,14,1
"Mujeres (023)",9,,1,4,1,2,1
,,,,,,,
"RURAL (024)",8972,161,2686,2056,1517,1583,969
"Hombres (025)",4573,79,1364,1064,760,818,488
"Mujeres (026)",4399,82,1322,992,757,765,481
"Viviendas particulares (027)",8870,159,2671,2034,1495,1547,964
"Hombres (028)",4509,79,1357,1058,745,786,484
"Mujeres (029)",4361,80,1314,976,750,761,480
"Viviendas colectivas (030)",36,,,,10,26,
"Hombres (031)",36,,,,10,26,
"Otro tipo (033)",66,2,15,22,12,10,5
"Hombres (034)",28,,7,6,5,6,4
"Mujeres (035)",38,2,8,16,7,4,1
