"CUADRO Nº 16: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PUNO",,,
"Viviendas particulares (001)",66374,46114,20260
"Ocupantes presentes (002)",225215,164324,60891
"Casa independiente",,,
"Viviendas particulares (004)",59698,43058,16640
"Ocupantes presentes (005)",205065,154961,50104
"Departamento en edificio",,,
"Viviendas particulares (007)",1086,1086,
"Ocupantes presentes (008)",3349,3349,
"Vivienda en quinta",,,
"Viviendas particulares (010)",320,320,
"Ocupantes presentes (011)",1028,1028,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (013)",1329,1259,70
"Ocupantes presentes (014)",3952,3740,212
"Choza o cabaña",,,
"Viviendas particulares (016)",3882,360,3522
"Ocupantes presentes (017)",11663,1158,10505
"Vivienda improvisada",,,
"Viviendas particulares (019)",17,7,10
"Ocupantes presentes (020)",55,30,25
"Local no dest.para hab. humana",,,
"Viviendas particulares (022)",32,23,9
"Ocupantes presentes (023)",77,53,24
"Otro tipo",,,
"Viviendas particulares (025)",10,1,9
"Ocupantes presentes (026)",26,5,21
,,,
URBANA,,,
"Viviendas particulares (028)",36907,32648,4259
"Ocupantes presentes (029)",133064,119922,13142
"Casa independiente",,,
"Viviendas particulares (031)",34120,29955,4165
"Ocupantes presentes (032)",124595,111725,12870
"Departamento en edificio",,,
"Viviendas particulares (034)",1086,1086,
"Ocupantes presentes (035)",3349,3349,
"Vivienda en quinta",,,
"Viviendas particulares (037)",320,320,
"Ocupantes presentes (038)",1028,1028,
"Vivienda en casa de vecindad",,,
"Viviendas particulares (040)",1329,1259,70
"Ocupantes presentes (041)",3952,3740,212
"Choza o cabaña",,,
"Vivienda improvisada",,,
"Viviendas particulares (046)",17,7,10
"Ocupantes presentes (047)",55,30,25
"Local no dest.para hab. humana",,,
"Viviendas particulares (049)",28,20,8
"Ocupantes presentes (050)",68,45,23
"Otro tipo",,,
"Viviendas particulares (052)",7,1,6
"Ocupantes presentes (053)",17,5,12
,,,
RURAL,,,
"Viviendas particulares (055)",29467,13466,16001
"Ocupantes presentes (056)",92151,44402,47749
"Casa independiente",,,
"Viviendas particulares (058)",25578,13103,12475
"Ocupantes presentes (059)",80470,43236,37234
"Departamento en edificio",,,
"Vivienda en quinta",,,
"Vivienda en casa de vecindad",,,
"Choza o cabaña",,,
"Viviendas particulares (070)",3882,360,3522
"Ocupantes presentes (071)",11663,1158,10505
"Vivienda improvisada",,,
"Local no dest.para hab. humana",,,
"Viviendas particulares (076)",4,3,1
"Ocupantes presentes (077)",9,8,1
"Otro tipo",,,
"Viviendas particulares (079)",3,,3
"Ocupantes presentes (080)",9,,9
