"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ALTO AMAZONAS (000)",1210,355,855
"Sin nivel (001)",60,15,45
"Educación inicial (002)",3,3,
"Primaria (003)",481,132,349
"Secundaria (004)",477,145,332
"Superior no univ. incompleta (005)",49,22,27
"Superior no univ. completa (006)",66,19,47
"Superior univ. incompleta (007)",30,9,21
"Superior univ. completa (008)",44,10,34
"De 14 a 29 años (010)",620,261,359
"Sin nivel (011)",14,9,5
"Educación inicial (012)",3,3,
"Primaria (013)",204,85,119
"Secundaria (014)",298,119,179
"Superior no univ. incompleta (015)",26,17,9
"Superior no univ. completa (016)",30,11,19
"Superior univ. incompleta (017)",21,9,12
"Superior univ. completa (018)",24,8,16
"De 30 a 44 años (020)",355,79,276
"Sin nivel (021)",18,4,14
"Primaria (023)",142,37,105
"Secundaria (024)",129,24,105
"Superior no univ. incompleta (025)",14,4,10
"Superior no univ. completa (026)",27,8,19
"Superior univ. incompleta (027)",8,,8
"Superior univ. completa (028)",17,2,15
"De 45 a 64 años (030)",187,15,172
"Sin nivel (031)",15,2,13
"Primaria (033)",105,10,95
"Secundaria (034)",47,2,45
"Superior no univ. incompleta (035)",8,1,7
"Superior no univ. completa (036)",8,,8
"Superior univ. incompleta (037)",1,,1
"Superior univ. completa (038)",3,,3
"De 65 y más años (040)",48,,48
"Sin nivel (041)",13,,13
"Primaria (043)",30,,30
"Secundaria (044)",3,,3
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",1,,1
,,,
"AREA URBANA (050)",893,274,619
"Sin nivel (051)",25,8,17
"Educación inicial (052)",3,3,
"Primaria (053)",281,84,197
"Secundaria (054)",404,125,279
"Superior no univ. incompleta (055)",43,18,25
"Superior no univ. completa (056)",65,18,47
"Superior univ. incompleta (057)",29,8,21
"Superior univ. completa (058)",43,10,33
"De 14 a 29 años (060)",465,194,271
"Sin nivel (061)",6,4,2
"Educación inicial (062)",3,3,
"Primaria (063)",108,46,62
"Secundaria (064)",256,102,154
"Superior no univ. incompleta (065)",20,13,7
"Superior no univ. completa (066)",29,10,19
"Superior univ. incompleta (067)",20,8,12
"Superior univ. completa (068)",23,8,15
"De 30 a 44 años (070)",269,69,200
"Sin nivel (071)",6,3,3
"Primaria (073)",86,31,55
"Secundaria (074)",111,21,90
"Superior no univ. incompleta (075)",14,4,10
"Superior no univ. completa (076)",27,8,19
"Superior univ. incompleta (077)",8,,8
"Superior univ. completa (078)",17,2,15
"De 45 a 64 años (080)",123,11,112
"Sin nivel (081)",4,1,3
"Primaria (083)",64,7,57
"Secundaria (084)",35,2,33
"Superior no univ. incompleta (085)",8,1,7
"Superior no univ. completa (086)",8,,8
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",3,,3
"De 65 y más años (090)",36,,36
"Sin nivel (091)",9,,9
"Primaria (093)",23,,23
"Secundaria (094)",2,,2
"Superior no univ. incompleta (095)",1,,1
"Superior no univ. completa (096)",1,,1
,,,
"AREA RURAL (100)",317,81,236
"Sin nivel (101)",35,7,28
"Primaria (103)",200,48,152
"Secundaria (104)",73,20,53
"Superior no univ. incompleta (105)",6,4,2
"Superior no univ. completa (106)",1,1,
"Superior univ. incompleta (107)",1,1,
"Superior univ. completa (108)",1,,1
"De 14 a 29 años (110)",155,67,88
"Sin nivel (111)",8,5,3
"Primaria (113)",96,39,57
"Secundaria (114)",42,17,25
"Superior no univ. incompleta (115)",6,4,2
"Superior no univ. completa (116)",1,1,
"Superior univ. incompleta (117)",1,1,
"Superior univ. completa (118)",1,,1
"De 30 a 44 años (120)",86,10,76
"Sin nivel (121)",12,1,11
"Primaria (123)",56,6,50
"Secundaria (124)",18,3,15
"De 45 a 64 años (130)",64,4,60
"Sin nivel (131)",11,1,10
"Primaria (133)",41,3,38
"Secundaria (134)",12,,12
"De 65 y más años (140)",12,,12
"Sin nivel (141)",4,,4
"Primaria (143)",7,,7
"Secundaria (144)",1,,1
