"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SUCRE (000)",12595,208,4373,2404,2228,1943,1439
"Hombres (001)",6216,113,2248,1191,1135,916,613
"Mujeres (002)",6379,95,2125,1213,1093,1027,826
"Viviendas particulares (003)",12556,208,4373,2388,2212,1936,1439
"Hombres (004)",6189,113,2248,1183,1122,910,613
"Mujeres (005)",6367,95,2125,1205,1090,1026,826
"Viviendas colectivas (006)",15,,,7,6,2,
"Hombres (007)",9,,,3,5,1,
"Mujeres (008)",6,,,4,1,1,
"Otro tipo (009)",24,,,9,10,5,
"Hombres (010)",18,,,5,8,5,
"Mujeres (011)",6,,,4,2,,
,,,,,,,
"URBANA (012)",7694,110,2733,1486,1452,1106,807
"Hombres (013)",3788,66,1408,731,727,526,330
"Mujeres (014)",3906,44,1325,755,725,580,477
"Viviendas particulares (015)",7656,110,2733,1471,1436,1099,807
"Hombres (016)",3761,66,1408,723,714,520,330
"Mujeres (017)",3895,44,1325,748,722,579,477
"Viviendas colectivas (018)",14,,,6,6,2,
"Hombres (019)",9,,,3,5,1,
"Mujeres (020)",5,,,3,1,1,
"Otro tipo (021)",24,,,9,10,5,
"Hombres (022)",18,,,5,8,5,
"Mujeres (023)",6,,,4,2,,
,,,,,,,
"RURAL (024)",4901,98,1640,918,776,837,632
"Hombres (025)",2428,47,840,460,408,390,283
"Mujeres (026)",2473,51,800,458,368,447,349
"Viviendas particulares (027)",4900,98,1640,917,776,837,632
"Hombres (028)",2428,47,840,460,408,390,283
"Mujeres (029)",2472,51,800,457,368,447,349
"Viviendas colectivas (030)",1,,,1,,,
"Mujeres (032)",1,,,1,,,
