"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCARTAMBO (000)",42069,11205,1626,21581,6554,319,399,124,261
"Quechua (001)",35996,10271,1355,19509,4545,110,108,41,57
"Aymara (002)",95,30,3,40,17,,1,1,3
"Ashaninca (003)",15,4,,11,,,,,
"Otra lengua nativa (004)",207,138,2,46,19,,1,,1
"Castellano (005)",5682,709,262,1967,1972,209,288,81,194
"Idioma extranjero (006)",9,,,,1,,1,1,6
"Es sordomudo/a (007)",65,53,4,8,,,,,
"Hombres (009)",21163,3950,761,11619,4196,196,208,85,148
"Quechua (010)",17872,3485,616,10533,3015,77,70,31,45
"Aymara (011)",43,10,,18,12,,1,,2
"Ashaninca (012)",7,2,,5,,,,,
"Otra lengua nativa (013)",104,71,1,19,11,,1,,1
"Castellano (014)",3097,355,142,1039,1158,119,135,53,96
"Idioma extranjero (015)",6,,,,,,1,1,4
"Es sordomudo/a (016)",34,27,2,5,,,,,
"Mujeres (018)",20906,7255,865,9962,2358,123,191,39,113
"Quechua (019)",18124,6786,739,8976,1530,33,38,10,12
"Aymara (020)",52,20,3,22,5,,,1,1
"Ashaninca (021)",8,2,,6,,,,,
"Otra lengua nativa (022)",103,67,1,27,8,,,,
"Castellano (023)",2585,354,120,928,814,90,153,28,98
"Idioma extranjero (024)",3,,,,1,,,,2
"Es sordomudo/a (025)",31,26,2,3,,,,,
,,,,,,,,,
"URBANA (027)",7909,1245,299,3207,2318,236,313,94,197
"Quechua (028)",4470,842,151,2142,1127,65,79,26,38
"Aymara (029)",30,5,,13,8,,1,1,2
"Ashaninca (030)",1,,,1,,,,,
"Otra lengua nativa (031)",11,2,,4,4,,1,,
"Castellano (032)",3380,386,148,1047,1179,171,231,67,151
"Idioma extranjero (033)",7,,,,,,1,,6
"Es sordomudo/a (034)",10,10,,,,,,,
"Hombres (036)",3928,428,152,1531,1347,139,156,62,113
"Quechua (037)",2110,227,72,1000,668,44,50,19,30
"Aymara (038)",16,2,,5,6,,1,,2
"Otra lengua nativa (040)",4,1,,1,1,,1,,
"Castellano (041)",1788,193,80,525,672,95,103,43,77
"Idioma extranjero (042)",5,,,,,,1,,4
"Es sordomudo/a (043)",5,5,,,,,,,
"Mujeres (045)",3981,817,147,1676,971,97,157,32,84
"Quechua (046)",2360,615,79,1142,459,21,29,7,8
"Aymara (047)",14,3,,8,2,,,1,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",7,1,,3,3,,,,
"Castellano (050)",1592,193,68,522,507,76,128,24,74
"Idioma extranjero (051)",2,,,,,,,,2
"Es sordomudo/a (052)",5,5,,,,,,,
,,,,,,,,,
"RURAL (054)",34160,9960,1327,18374,4236,83,86,30,64
"Quechua (055)",31526,9429,1204,17367,3418,45,29,15,19
"Aymara (056)",65,25,3,27,9,,,,1
"Ashaninca (057)",14,4,,10,,,,,
"Otra lengua nativa (058)",196,136,2,42,15,,,,1
"Castellano (059)",2302,323,114,920,793,38,57,14,43
"Idioma extranjero (060)",2,,,,1,,,1,
"Es sordomudo/a (061)",55,43,4,8,,,,,
"Hombres (063)",17235,3522,609,10088,2849,57,52,23,35
"Quechua (064)",15762,3258,544,9533,2347,33,20,12,15
"Aymara (065)",27,8,,13,6,,,,
"Ashaninca (066)",7,2,,5,,,,,
"Otra lengua nativa (067)",100,70,1,18,10,,,,1
"Castellano (068)",1309,162,62,514,486,24,32,10,19
"Idioma extranjero (069)",1,,,,,,,1,
"Es sordomudo/a (070)",29,22,2,5,,,,,
"Mujeres (072)",16925,6438,718,8286,1387,26,34,7,29
"Quechua (073)",15764,6171,660,7834,1071,12,9,3,4
"Aymara (074)",38,17,3,14,3,,,,1
"Ashaninca (075)",7,2,,5,,,,,
"Otra lengua nativa (076)",96,66,1,24,5,,,,
"Castellano (077)",993,161,52,406,307,14,25,4,24
"Idioma extranjero (078)",1,,,,1,,,,
"Es sordomudo/a (079)",26,21,2,3,,,,,
