"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CANDARAVE (000)",2810,2078,732
"Red pública dentro de la vivienda (001)",478,413,65
"Red pública fuera de la vivienda (002)",25,19,6
"Pilón de uso público (003)",30,25,5
"Pozo (005)",29,5,24
"Río, acequia, manatial o similar (006)",2196,1589,607
"Vecino (007)",33,13,20
"Otro (008)",19,14,5
,,,
"URBANA (010)",1767,1445,322
"Red pública dentro de la vivienda (011)",242,209,33
"Red pública fuera de la vivienda (012)",19,16,3
"Pilón de uso público (013)",27,24,3
"Pozo (015)",2,2,
"Río, acequia, manatial o similar (016)",1446,1178,268
"Vecino (017)",12,2,10
"Otro (018)",19,14,5
,,,
"RURAL (020)",1043,633,410
"Red pública dentro de la vivienda (021)",236,204,32
"Red pública fuera de la vivienda (022)",6,3,3
"Pilón de uso público (023)",3,1,2
"Pozo (025)",27,3,24
"Río, acequia, manatial o similar (026)",750,411,339
"Vecino (027)",21,11,10
