"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CONDESUYOS (000)",7524,1106,2144,1850,2424
"Asiste actualmente (001)",4752,444,2054,1694,560
"No asiste (002)",2772,662,90,156,1864
"Hombres (004)",3950,527,1114,887,1422
"Asiste actualmente (005)",2388,213,1062,816,297
"No asiste (006)",1562,314,52,71,1125
"Mujeres (008)",3574,579,1030,963,1002
"Asiste actualmente (009)",2364,231,992,878,263
"No asiste (010)",1210,348,38,85,739
,,,,,
"URBANA (012)",3310,437,964,949,960
"Asiste actualmente (013)",2442,234,948,911,349
"No asiste (014)",868,203,16,38,611
"Hombres (016)",1692,219,496,458,519
"Asiste actualmente (017)",1225,118,486,441,180
"No asiste (018)",467,101,10,17,339
"Mujeres (020)",1618,218,468,491,441
"Asiste actualmente (021)",1217,116,462,470,169
"No asiste (022)",401,102,6,21,272
,,,,,
"RURAL (024)",4214,669,1180,901,1464
"Asiste actualmente (025)",2310,210,1106,783,211
"No asiste (026)",1904,459,74,118,1253
"Hombres (028)",2258,308,618,429,903
"Asiste actualmente (029)",1163,95,576,375,117
"No asiste (030)",1095,213,42,54,786
"Mujeres (032)",1956,361,562,472,561
"Asiste actualmente (033)",1147,115,530,408,94
"No asiste (034)",809,246,32,64,467
