"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia FERREÑAFE (000)",25116,316,9262,7479,2676,984,438,138,28,,3795
"Sin Nivel (001)",6298,115,2489,1782,478,185,114,37,6,,1092
"Educación Inicial (002)",80,3,42,17,1,2,,,,,15
"Primaria (003)",8335,131,3771,2396,697,216,115,49,7,,953
"Secundaria (004)",6033,53,2322,1972,642,206,70,23,4,,741
"Sup. no Univ. Incompleta (005)",983,6,206,350,133,55,18,6,1,,208
"Sup. no Univ. Completa (006)",2083,5,277,627,455,206,73,9,4,,427
"Sup. Univ. Incompleta (007)",359,3,55,104,58,18,12,2,2,,105
"Sup. Univ. Completa (008)",945,,100,231,212,96,36,12,4,,254
,,,,,,,,,,,
"URBANA (010)",14340,145,4797,4423,1877,751,318,106,21,,1902
"Sin Nivel (011)",1572,33,641,427,154,74,48,18,2,,175
"Educación Inicial (012)",14,1,6,2,,,,,,,5
"Primaria (013)",4195,64,1846,1266,406,144,80,39,4,,346
"Secundaria (014)",4523,36,1718,1503,523,174,58,22,4,,485
"Sup. no Univ. Incompleta (015)",875,4,187,321,115,52,18,6,1,,171
"Sup. no Univ. Completa (016)",1928,5,253,589,420,197,69,8,4,,383
"Sup. Univ. Incompleta (017)",337,2,52,96,56,17,10,2,2,,100
"Sup. Univ. Completa (018)",896,,94,219,203,93,35,11,4,,237
,,,,,,,,,,,
"RURAL (020)",10776,171,4465,3056,799,233,120,32,7,,1893
"Sin Nivel (021)",4726,82,1848,1355,324,111,66,19,4,,917
"Educación Inicial (022)",66,2,36,15,1,2,,,,,10
"Primaria (023)",4140,67,1925,1130,291,72,35,10,3,,607
"Secundaria (024)",1510,17,604,469,119,32,12,1,,,256
"Sup. no Univ. Incompleta (025)",108,2,19,29,18,3,,,,,37
"Sup. no Univ. Completa (026)",155,,24,38,35,9,4,1,,,44
"Sup. Univ. Incompleta (027)",22,1,3,8,2,1,2,,,,5
"Sup. Univ. Completa (028)",49,,6,12,9,3,1,1,,,17
