"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CUTERVO (000)",68280,9754,21964,18511,18051
"Asiste actualmente (001)",43215,4054,20770,14459,3932
"No asiste (002)",25065,5700,1194,4052,14119
"Hombres (004)",35004,5130,11149,9439,9286
"Asiste actualmente (005)",22597,2115,10534,7644,2304
"No asiste (006)",12407,3015,615,1795,6982
"Mujeres (008)",33276,4624,10815,9072,8765
"Asiste actualmente (009)",20618,1939,10236,6815,1628
"No asiste (010)",12658,2685,579,2257,7137
,,,,,
"URBANA (012)",12120,1432,3467,3434,3787
"Asiste actualmente (013)",8848,819,3345,3131,1553
"No asiste (014)",3272,613,122,303,2234
"Hombres (016)",6092,756,1794,1698,1844
"Asiste actualmente (017)",4509,419,1727,1566,797
"No asiste (018)",1583,337,67,132,1047
"Mujeres (020)",6028,676,1673,1736,1943
"Asiste actualmente (021)",4339,400,1618,1565,756
"No asiste (022)",1689,276,55,171,1187
,,,,,
"RURAL (024)",56160,8322,18497,15077,14264
"Asiste actualmente (025)",34367,3235,17425,11328,2379
"No asiste (026)",21793,5087,1072,3749,11885
"Hombres (028)",28912,4374,9355,7741,7442
"Asiste actualmente (029)",18088,1696,8807,6078,1507
"No asiste (030)",10824,2678,548,1663,5935
"Mujeres (032)",27248,3948,9142,7336,6822
"Asiste actualmente (033)",16279,1539,8618,5250,872
"No asiste (034)",10969,2409,524,2086,5950
