"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAJATAMBO (000)",7309,601,88,3483,2163,166,245,127,436
"Hombres (001)",3745,108,45,1719,1286,99,148,91,249
"Mujeres (002)",3564,493,43,1764,877,67,97,36,187
"PEA (003)",2956,143,1,1043,988,125,188,103,365
"Hombres (004)",2167,54,1,769,815,90,129,78,231
"Mujeres (005)",789,89,,274,173,35,59,25,134
"Ocupada (006)",2864,140,1,1020,930,124,185,100,364
"Hombres (007)",2085,53,1,749,760,89,127,76,230
"Mujeres (008)",779,87,,271,170,35,58,24,134
"Desocupada (009)",92,3,,23,58,1,3,3,1
"Hombres (010)",82,1,,20,55,1,2,2,1
"Mujeres (011)",10,2,,3,3,,1,1,
"No PEA (012)",4353,458,87,2440,1175,41,57,24,71
"Hombres (013)",1578,54,44,950,471,9,19,13,18
"Mujeres (014)",2775,404,43,1490,704,32,38,11,53
,,,,,,,,,
"URBANA (018)",4456,347,64,1951,1425,109,166,83,311
"Hombres (019)",2214,60,34,912,837,52,89,57,173
"Mujeres (020)",2242,287,30,1039,588,57,77,26,138
"PEA (021)",1789,88,1,531,640,77,124,69,259
"Hombres (022)",1190,30,1,325,506,44,76,49,159
"Mujeres (023)",599,58,,206,134,33,48,20,100
"Ocupada (024)",1734,85,1,517,604,77,123,68,259
"Hombres (025)",1142,29,1,313,472,44,75,49,159
"Mujeres (026)",592,56,,204,132,33,48,19,100
"Desocupada (027)",55,3,,14,36,,1,1,
"Hombres (028)",48,1,,12,34,,1,,
"Mujeres (029)",7,2,,2,2,,,1,
"No PEA (030)",2667,259,63,1420,785,32,42,14,52
"Hombres (031)",1024,30,33,587,331,8,13,8,14
"Mujeres (032)",1643,229,30,833,454,24,29,6,38
,,,,,,,,,
"RURAL (036)",2853,254,24,1532,738,57,79,44,125
"Hombres (037)",1531,48,11,807,449,47,59,34,76
"Mujeres (038)",1322,206,13,725,289,10,20,10,49
"PEA (039)",1167,55,,512,348,48,64,34,106
"Hombres (040)",977,24,,444,309,46,53,29,72
"Mujeres (041)",190,31,,68,39,2,11,5,34
"Ocupada (042)",1130,55,,503,326,47,62,32,105
"Hombres (043)",943,24,,436,288,45,52,27,71
"Mujeres (044)",187,31,,67,38,2,10,5,34
"Desocupada (045)",37,,,9,22,1,2,2,1
"Hombres (046)",34,,,8,21,1,1,2,1
"Mujeres (047)",3,,,1,1,,1,,
"No PEA (048)",1686,199,24,1020,390,9,15,10,19
"Hombres (049)",554,24,11,363,140,1,6,5,4
"Mujeres (050)",1132,175,13,657,250,8,9,5,15
