"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SUCRE (000)",9045,1576,1127,1468,1492,1055,2327
"Conviviente (001)",1554,60,357,644,288,111,94
"Separado(a) (002)",204,1,26,33,55,37,52
"Casado(a) (003)",3842,11,66,542,973,777,1473
"Viudo(a) (004)",741,,1,8,53,68,611
"Divorciado(a) (005)",19,,,2,1,8,8
"Soltero(a) (006)",2685,1504,677,239,122,54,89
"Hombres (008)",4379,801,555,730,764,502,1027
"Conviviente (009)",759,28,117,350,168,56,40
"Separado(a) (010)",74,,4,9,28,16,17
"Casado(a) (011)",1905,4,15,219,479,390,798
"Viudo(a) (012)",162,,,,14,13,135
"Divorciado(a) (013)",10,,,2,1,3,4
"Soltero(a) (014)",1469,769,419,150,74,24,33
"Mujeres (016)",4666,775,572,738,728,553,1300
"Conviviente (017)",795,32,240,294,120,55,54
"Separado(a) (018)",130,1,22,24,27,21,35
"Casado(a) (019)",1937,7,51,323,494,387,675
"Viudo(a) (020)",579,,1,8,39,55,476
"Divorciado(a) (021)",9,,,,,5,4
"Soltero(a) (022)",1216,735,258,89,48,30,56
,,,,,,,
"URBANA (024)",5489,1004,647,977,948,616,1297
"Conviviente (025)",951,27,181,438,188,65,52
"Separado(a) (026)",146,1,14,24,37,30,40
"Casado(a) (027)",2232,4,31,355,615,439,788
"Viudo(a) (028)",427,,,3,27,40,357
"Divorciado(a) (029)",14,,,1,,5,8
"Soltero(a) (030)",1719,972,421,156,81,37,52
"Hombres (032)",2633,509,319,470,479,297,559
"Conviviente (033)",457,12,52,228,108,33,24
"Separado(a) (034)",59,,3,7,22,12,15
"Casado(a) (035)",1106,,7,142,298,229,430
"Viudo(a) (036)",79,,,,6,6,67
"Divorciado(a) (037)",6,,,1,,1,4
"Soltero(a) (038)",926,497,257,92,45,16,19
"Mujeres (040)",2856,495,328,507,469,319,738
"Conviviente (041)",494,15,129,210,80,32,28
"Separado(a) (042)",87,1,11,17,15,18,25
"Casado(a) (043)",1126,4,24,213,317,210,358
"Viudo(a) (044)",348,,,3,21,34,290
"Divorciado(a) (045)",8,,,,,4,4
"Soltero(a) (046)",793,475,164,64,36,21,33
,,,,,,,
"RURAL (048)",3556,572,480,491,544,439,1030
"Conviviente (049)",603,33,176,206,100,46,42
"Separado(a) (050)",58,,12,9,18,7,12
"Casado(a) (051)",1610,7,35,187,358,338,685
"Viudo(a) (052)",314,,1,5,26,28,254
"Divorciado(a) (053)",5,,,1,1,3,
"Soltero(a) (054)",966,532,256,83,41,17,37
"Hombres (056)",1746,292,236,260,285,205,468
"Conviviente (057)",302,16,65,122,60,23,16
"Separado(a) (058)",15,,1,2,6,4,2
"Casado(a) (059)",799,4,8,77,181,161,368
"Viudo(a) (060)",83,,,,8,7,68
"Divorciado(a) (061)",4,,,1,1,2,
"Soltero(a) (062)",543,272,162,58,29,8,14
"Mujeres (064)",1810,280,244,231,259,234,562
"Conviviente (065)",301,17,111,84,40,23,26
"Separado(a) (066)",43,,11,7,12,3,10
"Casado(a) (067)",811,3,27,110,177,177,317
"Viudo(a) (068)",231,,1,5,18,21,186
"Divorciado(a) (069)",1,,,,,1,
"Soltero(a) (070)",423,260,94,25,12,9,23
