"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CASTILLA",,,,,,,
"Viviendas particulares (001)",10664,1955,76,571,6868,877,317
"Ocupantes presentes (002)",37147,5953,248,2156,24930,2785,1075
"Casa independiente",,,,,,,
"Viviendas particulares (004)",9836,1566,68,562,6579,787,274
"Ocupantes presentes (005)",34506,4839,230,2117,23856,2548,916
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",27,17,,,7,2,1
"Ocupantes presentes (008)",99,44,,,46,2,7
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",64,48,,,8,8,
"Ocupantes presentes (011)",204,127,,,41,36,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",391,299,,4,61,18,9
"Ocupantes presentes (014)",1191,812,,14,281,43,41
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",285,13,8,4,200,37,23
"Ocupantes presentes (017)",926,67,18,20,656,92,73
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",17,3,,1,10,2,1
"Ocupantes presentes (020)",60,10,,5,38,3,4
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",39,9,,,1,22,7
"Ocupantes presentes (023)",145,54,,,4,57,30
"Otro tipo",,,,,,,
"Viviendas particulares (025)",5,,,,2,1,2
"Ocupantes presentes (026)",16,,,,8,4,4
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",6170,1584,27,442,3479,459,179
"Ocupantes presentes (029)",21329,4678,87,1682,12874,1412,596
"Casa independiente",,,,,,,
"Viviendas particulares (031)",5649,1215,27,437,3390,418,162
"Ocupantes presentes (032)",19700,3682,87,1663,12456,1297,515
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",27,17,,,7,2,1
"Ocupantes presentes (035)",99,44,,,46,2,7
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",64,48,,,8,8,
"Ocupantes presentes (038)",204,127,,,41,36,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",391,299,,4,61,18,9
"Ocupantes presentes (041)",1191,812,,14,281,43,41
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",17,3,,1,10,2,1
"Ocupantes presentes (047)",60,10,,5,38,3,4
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",19,2,,,1,10,6
"Ocupantes presentes (050)",63,3,,,4,27,29
"Otro tipo",,,,,,,
"Viviendas particulares (052)",3,,,,2,1,
"Ocupantes presentes (053)",12,,,,8,4,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",4494,371,49,129,3389,418,138
"Ocupantes presentes (056)",15818,1275,161,474,12056,1373,479
"Casa independiente",,,,,,,
"Viviendas particulares (058)",4187,351,41,125,3189,369,112
"Ocupantes presentes (059)",14806,1157,143,454,11400,1251,401
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",285,13,8,4,200,37,23
"Ocupantes presentes (071)",926,67,18,20,656,92,73
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",20,7,,,,12,1
"Ocupantes presentes (077)",82,51,,,,30,1
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,,,,,,2
"Ocupantes presentes (080)",4,,,,,,4
