"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TOCACHE (000)",29062,4879,5885,14287,731,2670,610
"Agric., ganadería, caza y silvicultura (001)",16872,141,4038,10067,495,2131,
"Pesca (002)",16,2,3,6,,5,
"Explotación de minas y canteras (003)",9,1,7,1,,,
"Industrias manufactureras (004)",1137,121,598,371,27,20,
"Suministro de electricidad, gas y agua (005)",37,11,23,2,1,,
"Construcción (006)",777,42,538,167,18,12,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2668,291,102,1849,111,315,
"Venta, mant.y rep. veh.autom y motoc. (008)",367,35,80,225,18,9,
"Comercio al por mayor (009)",136,24,4,76,14,18,
"Comercio al por menor (010)",2165,232,18,1548,79,288,
"Hoteles y restaurantes (011)",953,219,61,590,37,46,
"Trans., almac. y comunicaciones (012)",1222,230,217,748,13,14,
"Intermediación financiera (013)",42,40,1,1,,,
"Activid.inmobil., empres. y alquileres (014)",432,314,27,85,5,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",1326,1255,71,,,,
"Enseñanza (016)",1316,1283,,32,,1,
"Servicios sociales y de salud (017)",284,226,2,49,4,3,
"Otras activ. serv.comun.soc y personales (018)",636,430,53,136,5,12,
"Hogares privados con servicio doméstico (019)",610,,,,,,610
"Actividad economica no especificada (021)",725,273,144,183,15,110,
"Hombres (022)",22722,3308,5360,11836,607,1579,32
"Agric., ganadería, caza y silvicultura (023)",15028,130,3712,9310,458,1418,
"Pesca (024)",16,2,3,6,,5,
"Explotación de minas y canteras (025)",9,1,7,1,,,
"Industrias manufactureras (026)",964,101,546,276,26,15,
"Suministro de electricidad, gas y agua (027)",32,7,22,2,1,,
"Construcción (028)",758,38,525,166,18,11,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1409,154,97,1019,62,77,
"Venta, mant.y rep. veh.autom y motoc. (030)",334,25,76,209,18,6,
"Comercio al por mayor (031)",76,11,4,53,5,3,
"Comercio al por menor (032)",999,118,17,757,39,68,
"Hoteles y restaurantes (033)",190,56,14,101,12,7,
"Trans., almac. y comunicaciones (034)",1161,191,215,729,13,13,
"Intermediación financiera (035)",34,32,1,1,,,
"Activid.inmobil., empres. y alquileres (036)",348,247,26,71,4,,
"Admin.pub. y defensa; p. segur soc.afil (037)",1189,1122,67,,,,
"Enseñanza (038)",677,661,,15,,1,
"Servicios sociales y de salud (039)",139,102,1,32,4,,
"Otras activ. serv.comun.soc y personales (040)",466,373,36,47,2,8,
"Hogares privados con servicio doméstico (041)",32,,,,,,32
"Actividad economica no especificada (043)",270,91,88,60,7,24,
"Mujeres (044)",6340,1571,525,2451,124,1091,578
"Agric., ganadería, caza y silvicultura (045)",1844,11,326,757,37,713,
"Industrias manufactureras (048)",173,20,52,95,1,5,
"Suministro de electricidad, gas y agua (049)",5,4,1,,,,
"Construcción (050)",19,4,13,1,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1259,137,5,830,49,238,
"Venta, mant.y rep. veh.autom y motoc. (052)",33,10,4,16,,3,
"Comercio al por mayor (053)",60,13,,23,9,15,
"Comercio al por menor (054)",1166,114,1,791,40,220,
"Hoteles y restaurantes (055)",763,163,47,489,25,39,
"Trans., almac. y comunicaciones (056)",61,39,2,19,,1,
"Intermediación financiera (057)",8,8,,,,,
"Activid.inmobil., empres. y alquileres (058)",84,67,1,14,1,1,
"Admin.pub. y defensa; p. segur soc.afil (059)",137,133,4,,,,
"Enseñanza (060)",639,622,,17,,,
"Servicios sociales y de salud (061)",145,124,1,17,,3,
"Otras activ. serv.comun.soc y personales (062)",170,57,17,89,3,4,
"Hogares privados con servicio doméstico (063)",578,,,,,,578
"Actividad economica no especificada (065)",455,182,56,123,8,86,
,,,,,,,
"URBANA (066)",14867,4294,2299,6474,384,992,424
"Agric., ganadería, caza y silvicultura (067)",4754,89,973,2939,173,580,
"Pesca (068)",13,2,3,3,,5,
"Explotación de minas y canteras (069)",3,1,2,,,,
"Industrias manufactureras (070)",853,81,426,314,20,12,
"Suministro de electricidad, gas y agua (071)",28,11,14,2,1,,
"Construcción (072)",568,37,374,135,17,5,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",2331,265,87,1582,107,290,
"Venta, mant.y rep. veh.autom y motoc. (074)",327,31,67,203,18,8,
"Comercio al por mayor (075)",120,20,3,68,12,17,
"Comercio al por menor (076)",1884,214,17,1311,77,265,
"Hoteles y restaurantes (077)",804,201,46,503,27,27,
"Trans., almac. y comunicaciones (078)",960,210,144,582,13,11,
"Intermediación financiera (079)",38,36,1,1,,,
"Activid.inmobil., empres. y alquileres (080)",342,239,19,78,5,1,
"Admin.pub. y defensa; p. segur soc.afil (081)",1268,1213,55,,,,
"Enseñanza (082)",1110,1082,,28,,,
"Servicios sociales y de salud (083)",243,188,2,46,4,3,
"Otras activ. serv.comun.soc y personales (084)",593,411,43,123,5,11,
"Hogares privados con servicio doméstico (085)",424,,,,,,424
"Actividad economica no especificada (087)",535,228,110,138,12,47,
"Hombres (088)",10524,2919,2044,4740,290,508,23
"Agric., ganadería, caza y silvicultura (089)",4122,83,866,2636,155,382,
"Pesca (090)",13,2,3,3,,5,
"Explotación de minas y canteras (091)",3,1,2,,,,
"Industrias manufactureras (092)",698,63,381,227,19,8,
"Suministro de electricidad, gas y agua (093)",24,7,14,2,1,,
"Construcción (094)",558,33,370,134,17,4,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",1236,138,82,885,60,71,
"Venta, mant.y rep. veh.autom y motoc. (096)",300,21,63,192,18,6,
"Comercio al por mayor (097)",64,8,3,46,4,3,
"Comercio al por menor (098)",872,109,16,647,38,62,
"Hoteles y restaurantes (099)",165,53,11,88,8,5,
"Trans., almac. y comunicaciones (100)",905,173,142,566,13,11,
"Intermediación financiera (101)",30,28,1,1,,,
"Activid.inmobil., empres. y alquileres (102)",269,183,18,64,4,,
"Admin.pub. y defensa; p. segur soc.afil (103)",1138,1086,52,,,,
"Enseñanza (104)",559,545,,14,,,
"Servicios sociales y de salud (105)",121,86,1,30,4,,
"Otras activ. serv.comun.soc y personales (106)",437,358,31,39,2,7,
"Hogares privados con servicio doméstico (107)",23,,,,,,23
"Actividad economica no especificada (109)",223,80,70,51,7,15,
"Mujeres (110)",4343,1375,255,1734,94,484,401
"Agric., ganadería, caza y silvicultura (111)",632,6,107,303,18,198,
"Industrias manufactureras (114)",155,18,45,87,1,4,
"Suministro de electricidad, gas y agua (115)",4,4,,,,,
"Construcción (116)",10,4,4,1,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1095,127,5,697,47,219,
"Venta, mant.y rep. veh.autom y motoc. (118)",27,10,4,11,,2,
"Comercio al por mayor (119)",56,12,,22,8,14,
"Comercio al por menor (120)",1012,105,1,664,39,203,
"Hoteles y restaurantes (121)",639,148,35,415,19,22,
"Trans., almac. y comunicaciones (122)",55,37,2,16,,,
