"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia MOYOBAMBA (000)",56797,46434,10363
"De 3 a 5 años (001)",8164,549,7615
"De 6 a 11 años (002)",17018,15080,1938
"De 12 a 16 años (003)",14263,14006,257
"De 17 a 24 años (004)",17352,16799,553
"Hombres (005)",29218,23860,5358
"De 3 a 5 años (006)",4263,277,3986
"De 6 a 11 años (007)",8663,7634,1029
"De 12 a 16 años (008)",7360,7229,131
"De 17 a 24 años (009)",8932,8720,212
"Mujeres (010)",27579,22574,5005
"De 3 a 5 años (011)",3901,272,3629
"De 6 a 11 años (012)",8355,7446,909
"De 12 a 16 años (013)",6903,6777,126
"De 17 a 24 años (014)",8420,8079,341
,,,
"URBANA (015)",31660,26956,4704
"De 3 a 5 años (016)",4148,383,3765
"De 6 a 11 años (017)",8925,8239,686
"De 12 a 16 años (018)",8671,8589,82
"De 17 a 24 años (019)",9916,9745,171
"Hombres (020)",15902,13473,2429
"De 3 a 5 años (021)",2162,194,1968
"De 6 a 11 años (022)",4512,4160,352
"De 12 a 16 años (023)",4392,4352,40
"De 17 a 24 años (024)",4836,4767,69
"Mujeres (025)",15758,13483,2275
"De 3 a 5 años (026)",1986,189,1797
"De 6 a 11 años (027)",4413,4079,334
"De 12 a 16 años (028)",4279,4237,42
"De 17 a 24 años (029)",5080,4978,102
,,,
"RURAL (030)",25137,19478,5659
"De 3 a 5 años (031)",4016,166,3850
"De 6 a 11 años (032)",8093,6841,1252
"De 12 a 16 años (033)",5592,5417,175
"De 17 a 24 años (034)",7436,7054,382
"Hombres (035)",13316,10387,2929
"De 3 a 5 años (036)",2101,83,2018
"De 6 a 11 años (037)",4151,3474,677
"De 12 a 16 años (038)",2968,2877,91
"De 17 a 24 años (039)",4096,3953,143
"Mujeres (040)",11821,9091,2730
"De 3 a 5 años (041)",1915,83,1832
"De 6 a 11 años (042)",3942,3367,575
"De 12 a 16 años (043)",2624,2540,84
"De 17 a 24 años (044)",3340,3101,239
