"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia HUANCABAMBA (000)",29857,348,12774,9931,2719,818,311,109,12,,2835
"Catolica (001)",25729,306,10871,8546,2407,734,277,95,10,,2483
"Cristiana / Evangelica (002)",3474,30,1633,1157,255,71,31,12,1,,284
"Otra (003)",375,9,154,130,34,10,1,1,1,,35
"Ninguna (004)",279,3,116,98,23,3,2,1,,,33
,,,,,,,,,,,
"URBANA (006)",4071,44,1224,1390,621,208,94,20,3,,467
"Catolica (007)",3745,38,1122,1279,580,193,91,19,3,,420
"Cristiana / Evangelica (008)",238,2,73,86,29,10,2,1,,,35
"Otra (009)",67,3,22,19,9,5,,,,,9
"Ninguna (010)",21,1,7,6,3,,1,,,,3
,,,,,,,,,,,
"RURAL (012)",25786,304,11550,8541,2098,610,217,89,9,,2368
"Catolica (013)",21984,268,9749,7267,1827,541,186,76,7,,2063
"Cristiana / Evangelica (014)",3236,28,1560,1071,226,61,29,11,1,,249
"Otra (015)",308,6,132,111,25,5,1,1,1,,26
"Ninguna (016)",258,2,109,92,20,3,1,1,,,30
