"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia RECUAY (000)",18084,2498,1730,449,13413
"Sin Nivel (001)",2741,561,162,38,1980
"Educación Inicial (002)",486,217,45,5,220
"Primaria (003)",6720,1101,502,109,5009
"Secundaria (004)",5233,514,377,118,4225
"Sup. no Univ. Incompleta (005)",901,41,70,32,758
"Sup. no Univ. Completa (006)",939,32,265,77,565
"Sup. Univ. Incompleta (007)",437,17,73,28,319
"Sup. Univ. Completa (008)",627,15,236,42,337
"Hombres (010)",8831,1178,916,266,6475
"Sin Nivel (011)",831,246,63,14,508
"Educación Inicial (012)",257,114,26,3,114
"Primaria (013)",3148,519,254,54,2321
"Secundaria (014)",2959,256,191,69,2444
"Sup. no Univ. Incompleta (015)",490,18,38,23,411
"Sup. no Univ. Completa (016)",480,9,145,55,271
"Sup. Univ. Incompleta (017)",281,8,49,20,204
"Sup. Univ. Completa (018)",385,8,150,28,202
"Mujeres (020)",9253,1320,814,183,6938
"Sin Nivel (021)",1910,315,99,24,1472
"Educación Inicial (022)",229,103,19,2,106
"Primaria (023)",3572,582,248,55,2688
"Secundaria (024)",2274,258,186,49,1781
"Sup. no Univ. Incompleta (025)",411,23,32,9,347
"Sup. no Univ. Completa (026)",459,23,120,22,294
"Sup. Univ. Incompleta (027)",156,9,24,8,115
"Sup. Univ. Completa (028)",242,7,86,14,135
,,,,,
"URBANA (030)",10288,1447,1383,345,7117
"Sin Nivel (031)",1328,311,102,27,888
"Educación Inicial (032)",292,134,39,5,115
"Primaria (033)",3551,604,385,83,2479
"Secundaria (034)",3017,317,319,89,2293
"Sup. no Univ. Incompleta (035)",572,30,53,22,467
"Sup. no Univ. Completa (036)",721,23,237,63,398
"Sup. Univ. Incompleta (037)",343,15,66,22,240
"Sup. Univ. Completa (038)",464,13,182,34,237
"Hombres (040)",4932,665,719,196,3355
"Sin Nivel (041)",398,136,43,10,209
"Educación Inicial (042)",159,70,22,3,64
"Primaria (043)",1589,268,187,39,1095
"Secundaria (044)",1669,159,166,50,1295
"Sup. no Univ. Incompleta (045)",290,12,28,15,235
"Sup. no Univ. Completa (046)",343,6,123,44,170
"Sup. Univ. Incompleta (047)",219,7,42,15,155
"Sup. Univ. Completa (048)",265,7,108,20,132
"Mujeres (050)",5356,782,664,149,3762
"Sin Nivel (051)",930,175,59,17,679
"Educación Inicial (052)",133,64,17,2,51
"Primaria (053)",1962,336,198,44,1384
"Secundaria (054)",1348,158,153,39,998
"Sup. no Univ. Incompleta (055)",282,18,25,7,232
"Sup. no Univ. Completa (056)",378,17,114,19,228
"Sup. Univ. Incompleta (057)",124,8,24,7,85
"Sup. Univ. Completa (058)",199,6,74,14,105
,,,,,
"RURAL (060)",7796,1051,347,104,6296
"Sin Nivel (061)",1413,250,60,11,1092
"Educación Inicial (062)",194,83,6,,105
"Primaria (063)",3169,497,117,26,2530
"Secundaria (064)",2216,197,58,29,1932
"Sup. no Univ. Incompleta (065)",329,11,17,10,291
"Sup. no Univ. Completa (066)",218,9,28,14,167
"Sup. Univ. Incompleta (067)",94,2,7,6,79
"Sup. Univ. Completa (068)",163,2,54,8,100
"Hombres (070)",3899,513,197,70,3120
"Sin Nivel (071)",433,110,20,4,299
"Educación Inicial (072)",98,44,4,,50
"Primaria (073)",1559,251,67,15,1226
"Secundaria (074)",1290,97,25,19,1149
"Sup. no Univ. Incompleta (075)",200,6,10,8,176
"Sup. no Univ. Completa (076)",137,3,22,11,101
"Sup. Univ. Incompleta (077)",62,1,7,5,49
"Sup. Univ. Completa (078)",120,1,42,8,70
"Mujeres (080)",3897,538,150,34,3176
"Sin Nivel (081)",980,140,40,7,793
"Educación Inicial (082)",96,39,2,,55
"Primaria (083)",1610,246,50,11,1304
"Secundaria (084)",926,100,33,10,783
"Sup. no Univ. Incompleta (085)",129,5,7,2,115
"Sup. no Univ. Completa (086)",81,6,6,3,66
"Sup. Univ. Incompleta (087)",32,1,,1,30
"Sup. Univ. Completa (088)",43,1,12,,30
