"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CELENDIN (000)",179,166,13
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",61,61,
"Hospital, clinica (004)",27,27,
"Cárcel, centro de readaptación social (005)",36,36,
"Otro (008)",14,5,9
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",41,37,4
