"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAYLAS (000)",50297,11447,1448,23549,9151,973,1830,687,1212
"Quechua (001)",28772,9000,650,15461,2982,179,316,68,116
"Aymara (002)",18,5,1,10,,,1,,1
"Ashaninca (003)",5,1,,4,,,,,
"Otra lengua nativa (004)",4,2,,2,,,,,
"Castellano (005)",21422,2382,797,8059,6169,792,1512,619,1092
"Idioma extranjero (006)",7,,,1,,2,1,,3
"Es sordomudo/a (007)",69,57,,12,,,,,
"Hombres (009)",24734,4090,720,12092,5360,518,875,392,687
"Quechua (010)",13953,2983,317,8141,2033,126,217,53,83
"Aymara (011)",10,2,,6,,,1,,1
"Ashaninca (012)",3,,,3,,,,,
"Otra lengua nativa (013)",2,1,,1,,,,,
"Castellano (014)",10724,1072,403,3936,3327,390,656,339,601
"Idioma extranjero (015)",6,,,1,,2,1,,2
"Es sordomudo/a (016)",36,32,,4,,,,,
"Mujeres (018)",25563,7357,728,11457,3791,455,955,295,525
"Quechua (019)",14819,6017,333,7320,949,53,99,15,33
"Aymara (020)",8,3,1,4,,,,,
"Ashaninca (021)",2,1,,1,,,,,
"Otra lengua nativa (022)",2,1,,1,,,,,
"Castellano (023)",10698,1310,394,4123,2842,402,856,280,491
"Idioma extranjero (024)",1,,,,,,,,1
"Es sordomudo/a (025)",33,25,,8,,,,,
,,,,,,,,,
"URBANA (027)",16529,1885,427,5833,4573,699,1436,571,1105
"Quechua (028)",3677,728,27,1854,698,79,165,36,90
"Aymara (029)",5,,,4,,,1,,
"Ashaninca (030)",2,,,2,,,,,
"Otra lengua nativa (031)",1,,,1,,,,,
"Castellano (032)",12829,1148,400,3971,3875,619,1269,535,1012
"Idioma extranjero (033)",5,,,,,1,1,,3
"Es sordomudo/a (034)",10,9,,1,,,,,
"Hombres (036)",8051,658,205,2764,2510,354,630,309,621
"Quechua (037)",1708,141,14,850,461,55,100,25,62
"Aymara (038)",3,,,2,,,1,,
"Ashaninca (039)",1,,,1,,,,,
"Castellano (041)",6331,513,191,1911,2049,298,528,284,557
"Idioma extranjero (042)",4,,,,,1,1,,2
"Es sordomudo/a (043)",4,4,,,,,,,
"Mujeres (045)",8478,1227,222,3069,2063,345,806,262,484
"Quechua (046)",1969,587,13,1004,237,24,65,11,28
"Aymara (047)",2,,,2,,,,,
"Ashaninca (048)",1,,,1,,,,,
"Otra lengua nativa (049)",1,,,1,,,,,
"Castellano (050)",6498,635,209,2060,1826,321,741,251,455
"Idioma extranjero (051)",1,,,,,,,,1
"Es sordomudo/a (052)",6,5,,1,,,,,
,,,,,,,,,
"RURAL (054)",33768,9562,1021,17716,4578,274,394,116,107
"Quechua (055)",25095,8272,623,13607,2284,100,151,32,26
"Aymara (056)",13,5,1,6,,,,,1
"Ashaninca (057)",3,1,,2,,,,,
"Otra lengua nativa (058)",3,2,,1,,,,,
"Castellano (059)",8593,1234,397,4088,2294,173,243,84,80
"Idioma extranjero (060)",2,,,1,,1,,,
"Es sordomudo/a (061)",59,48,,11,,,,,
"Hombres (063)",16683,3432,515,9328,2850,164,245,83,66
"Quechua (064)",12245,2842,303,7291,1572,71,117,28,21
"Aymara (065)",7,2,,4,,,,,1
"Ashaninca (066)",2,,,2,,,,,
"Otra lengua nativa (067)",2,1,,1,,,,,
"Castellano (068)",4393,559,212,2025,1278,92,128,55,44
"Idioma extranjero (069)",2,,,1,,1,,,
"Es sordomudo/a (070)",32,28,,4,,,,,
"Mujeres (072)",17085,6130,506,8388,1728,110,149,33,41
"Quechua (073)",12850,5430,320,6316,712,29,34,4,5
"Aymara (074)",6,3,1,2,,,,,
"Ashaninca (075)",1,1,,,,,,,
"Otra lengua nativa (076)",1,1,,,,,,,
"Castellano (077)",4200,675,185,2063,1016,81,115,29,36
"Es sordomudo/a (079)",27,20,,7,,,,,
