"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CARABAYA (000)",67100,11856,1878,31959,18430,915,736,545,781
"Jefe o Jefa (001)",19527,3083,11,9462,5513,356,432,189,481
"Esposa(o)/ compa¤era(o) (002)",10498,2502,16,5529,2107,102,98,45,99
"Hijo(a)/ hijastro(a) (003)",29720,4759,1642,13917,8589,335,120,257,101
"Yerno/ nuera (004)",499,20,,194,253,13,6,5,8
"Nieto(a) (005)",1649,418,123,788,299,14,2,4,1
"Padres/ suegros (006)",755,525,,203,17,2,2,1,5
"Otro(a) pariente (007)",3207,430,80,1406,1129,56,36,26,44
"Trabajador(a) del hogar (008)",59,6,,31,21,1,,,
"Pensionista (009)",8,3,,2,3,,,,
"Otro(a) no pariente (010)",1178,110,6,427,499,36,40,18,42
"Hombres (012)",34651,4249,931,16241,11317,571,469,342,531
"Jefe o Jefa (013)",14272,1187,6,7286,4619,297,344,151,382
"Esposa(o)/ compa¤era(o) (014)",544,49,1,221,220,12,16,11,14
"Hijo(a)/ hijastro(a) (015)",15761,2426,810,7035,5059,181,54,138,58
"Yerno/ nuera (016)",217,4,,80,109,9,4,4,7
"Nieto(a) (017)",867,209,63,419,166,8,1,1,
"Padres/ suegros (018)",283,128,,133,13,2,2,1,4
"Otro(a) pariente (019)",1828,188,48,760,722,33,22,21,34
"Trabajador(a) del hogar (020)",23,1,,13,8,1,,,
"Pensionista (021)",3,1,,1,1,,,,
"Otro(a) no pariente (022)",853,56,3,293,400,28,26,15,32
"Mujeres (024)",32449,7607,947,15718,7113,344,267,203,250
"Jefe o Jefa (025)",5255,1896,5,2176,894,59,88,38,99
"Esposa(o)/ compa¤era(o) (026)",9954,2453,15,5308,1887,90,82,34,85
"Hijo(a)/ hijastro(a) (027)",13959,2333,832,6882,3530,154,66,119,43
"Yerno/ nuera (028)",282,16,,114,144,4,2,1,1
"Nieto(a) (029)",782,209,60,369,133,6,1,3,1
"Padres/ suegros (030)",472,397,,70,4,,,,1
"Otro(a) pariente (031)",1379,242,32,646,407,23,14,5,10
"Trabajador(a) del hogar (032)",36,5,,18,13,,,,
"Pensionista (033)",5,2,,1,2,,,,
"Otro(a) no pariente (034)",325,54,3,134,99,8,14,3,10
,,,,,,,,,
"URBANA (036)",26954,3956,853,11555,8456,599,534,390,611
"Jefe o Jefa (037)",7437,977,6,2974,2448,237,292,126,377
"Esposa(o)/ compa¤era(o) (038)",3997,690,3,1934,1083,79,84,40,84
"Hijo(a)/ hijastro(a) (039)",12237,1705,732,5384,3864,210,87,187,68
"Yerno/ nuera (040)",239,10,,75,132,9,6,2,5
"Nieto(a) (041)",653,138,61,302,136,11,2,2,1
"Padres/ suegros (042)",364,238,,103,13,2,2,1,5
"Otro(a) pariente (043)",1513,156,47,629,580,29,24,16,32
"Trabajador(a) del hogar (044)",31,4,,15,12,,,,
"Pensionista (045)",3,,,1,2,,,,
"Otro(a) no pariente (046)",480,38,4,138,186,22,37,16,39
