"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CORONEL PORTILLO (000)",4657,1151,3506
"Sin nivel (001)",73,13,60
"Educación inicial (002)",9,4,5
"Primaria (003)",968,192,776
"Secundaria (004)",2460,673,1787
"Superior no univ. incompleta (005)",343,88,255
"Superior no univ. completa (006)",386,85,301
"Superior univ. incompleta (007)",185,41,144
"Superior univ. completa (008)",233,55,178
"Hombres (010)",3038,674,2364
"Sin nivel (011)",39,8,31
"Educación inicial (012)",3,1,2
"Primaria (013)",679,113,566
"Secundaria (014)",1656,402,1254
"Superior no univ. incompleta (015)",212,47,165
"Superior no univ. completa (016)",198,43,155
"Superior univ. incompleta (017)",124,27,97
"Superior univ. completa (018)",127,33,94
"Mujeres (020)",1619,477,1142
"Sin nivel (021)",34,5,29
"Educación inicial (022)",6,3,3
"Primaria (023)",289,79,210
"Secundaria (024)",804,271,533
"Superior no univ. incompleta (025)",131,41,90
"Superior no univ. completa (026)",188,42,146
"Superior univ. incompleta (027)",61,14,47
"Superior univ. completa (028)",106,22,84
,,,
"AREA URBANA (030)",4283,1031,3252
"Sin nivel (031)",55,11,44
"Educación inicial (032)",8,3,5
"Primaria (033)",797,149,648
"Secundaria (034)",2297,607,1690
"Superior no univ. incompleta (035)",337,84,253
"Superior no univ. completa (036)",379,84,295
"Superior univ. incompleta (037)",181,40,141
"Superior univ. completa (038)",229,53,176
"Hombres (040)",2757,588,2169
"Sin nivel (041)",31,7,24
"Educación inicial (042)",3,1,2
"Primaria (043)",541,81,460
"Secundaria (044)",1535,356,1179
"Superior no univ. incompleta (045)",206,43,163
"Superior no univ. completa (046)",194,42,152
"Superior univ. incompleta (047)",122,27,95
"Superior univ. completa (048)",125,31,94
"Mujeres (050)",1526,443,1083
"Sin nivel (051)",24,4,20
"Educación inicial (052)",5,2,3
"Primaria (053)",256,68,188
"Secundaria (054)",762,251,511
"Superior no univ. incompleta (055)",131,41,90
"Superior no univ. completa (056)",185,42,143
"Superior univ. incompleta (057)",59,13,46
"Superior univ. completa (058)",104,22,82
,,,
"AREA RURAL (060)",374,120,254
"Sin nivel (061)",18,2,16
"Educación inicial (062)",1,1,
"Primaria (063)",171,43,128
"Secundaria (064)",163,66,97
"Superior no univ. incompleta (065)",6,4,2
"Superior no univ. completa (066)",7,1,6
"Superior univ. incompleta (067)",4,1,3
"Superior univ. completa (068)",4,2,2
"Hombres (070)",281,86,195
"Sin nivel (071)",8,1,7
"Primaria (073)",138,32,106
"Secundaria (074)",121,46,75
"Superior no univ. incompleta (075)",6,4,2
"Superior no univ. completa (076)",4,1,3
"Superior univ. incompleta (077)",2,,2
"Superior univ. completa (078)",2,2,
"Mujeres (080)",93,34,59
"Sin nivel (081)",10,1,9
"Educación inicial (082)",1,1,
"Primaria (083)",33,11,22
"Secundaria (084)",42,20,22
"Superior no univ. completa (086)",3,,3
"Superior univ. incompleta (087)",2,1,1
"Superior univ. completa (088)",2,,2
