"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHANCHAMAYO (000)",1782,50,1004,464,217,47
"Sin nivel (001)",100,5,12,36,34,13
"Educación inicial (002)",3,,3,,,
"Primaria (003)",408,28,153,130,77,20
"Secundaria (004)",884,17,590,199,67,11
"Superior no univ. incompleta (005)",111,,77,24,10,
"Superior no univ. completa (006)",113,,83,21,9,
"Superior univ. incompleta (007)",60,,40,13,5,2
"Superior univ. completa (008)",103,,46,41,15,1
"Hombres (010)",1146,28,598,318,163,39
"Sin nivel (011)",55,3,7,19,18,8
"Educación inicial (012)",1,,1,,,
"Primaria (013)",263,14,82,93,57,17
"Secundaria (014)",601,11,379,145,55,11
"Superior no univ. incompleta (015)",69,,46,15,8,
"Superior no univ. completa (016)",55,,39,10,6,
"Superior univ. incompleta (017)",40,,25,8,5,2
"Superior univ. completa (018)",62,,19,28,14,1
"Mujeres (020)",636,22,406,146,54,8
"Sin nivel (021)",45,2,5,17,16,5
"Educación inicial (022)",2,,2,,,
"Primaria (023)",145,14,71,37,20,3
"Secundaria (024)",283,6,211,54,12,
"Superior no univ. incompleta (025)",42,,31,9,2,
"Superior no univ. completa (026)",58,,44,11,3,
"Superior univ. incompleta (027)",20,,15,5,,
"Superior univ. completa (028)",41,,27,13,1,
,,,,,,
"Area Urbana (030)",1417,24,760,407,189,37
"Sin nivel (031)",69,,4,33,23,9
"Educación inicial (032)",3,,3,,,
"Primaria (033)",293,12,98,102,66,15
"Secundaria (034)",713,12,447,182,62,10
"Superior no univ. incompleta (035)",95,,63,22,10,
"Superior no univ. completa (036)",100,,71,20,9,
"Superior univ. incompleta (037)",53,,33,13,5,2
"Superior univ. completa (038)",91,,41,35,14,1
"Hombres (040)",898,16,437,273,141,31
"Sin nivel (041)",35,,2,17,11,5
"Educación inicial (042)",1,,1,,,
"Primaria (043)",186,8,49,68,48,13
"Secundaria (044)",476,8,277,131,50,10
"Superior no univ. incompleta (045)",59,,38,13,8,
"Superior no univ. completa (046)",48,,32,10,6,
"Superior univ. incompleta (047)",36,,21,8,5,2
"Superior univ. completa (048)",57,,17,26,13,1
"Mujeres (050)",519,8,323,134,48,6
"Sin nivel (051)",34,,2,16,12,4
"Educación inicial (052)",2,,2,,,
"Primaria (053)",107,4,49,34,18,2
"Secundaria (054)",237,4,170,51,12,
"Superior no univ. incompleta (055)",36,,25,9,2,
"Superior no univ. completa (056)",52,,39,10,3,
"Superior univ. incompleta (057)",17,,12,5,,
"Superior univ. completa (058)",34,,24,9,1,
,,,,,,
"Area Rural (060)",365,26,244,57,28,10
"Sin nivel (061)",31,5,8,3,11,4
"Primaria (063)",115,16,55,28,11,5
"Secundaria (064)",171,5,143,17,5,1
"Superior no univ. incompleta (065)",16,,14,2,,
"Superior no univ. completa (066)",13,,12,1,,
"Superior univ. incompleta (067)",7,,7,,,
"Superior univ. completa (068)",12,,5,6,1,
"Hombres (070)",248,12,161,45,22,8
"Sin nivel (071)",20,3,5,2,7,3
"Primaria (073)",77,6,33,25,9,4
"Secundaria (074)",125,3,102,14,5,1
"Superior no univ. incompleta (075)",10,,8,2,,
"Superior no univ. completa (076)",7,,7,,,
"Superior univ. incompleta (077)",4,,4,,,
"Superior univ. completa (078)",5,,2,2,1,
"Mujeres (080)",117,14,83,12,6,2
"Sin nivel (081)",11,2,3,1,4,1
"Primaria (083)",38,10,22,3,2,1
"Secundaria (084)",46,2,41,3,,
"Superior no univ. incompleta (085)",6,,6,,,
"Superior no univ. completa (086)",6,,5,1,,
"Superior univ. incompleta (087)",3,,3,,,
"Superior univ. completa (088)",7,,3,4,,
