"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MORROPON (000)",159693,2977,48742,38632,29634,26040,13668
"Hombres (001)",80951,1511,24856,19839,14361,13226,7158
"Mujeres (002)",78742,1466,23886,18793,15273,12814,6510
"Viviendas particulares (003)",159347,2977,48734,38514,29526,25951,13645
"Hombres (004)",80739,1511,24851,19766,14294,13170,7147
"Mujeres (005)",78608,1466,23883,18748,15232,12781,6498
"Viviendas colectivas (006)",272,,5,84,91,72,20
"Hombres (007)",150,,2,46,51,43,8
"Mujeres (008)",122,,3,38,40,29,12
"Otro tipo (009)",74,,3,34,17,17,3
"Hombres (010)",62,,3,27,16,13,3
"Mujeres (011)",12,,,7,1,4,
,,,,,,,
"URBANA (012)",91798,1634,26197,22905,17907,15386,7769
"Hombres (013)",45856,846,13236,11447,8475,7770,4082
"Mujeres (014)",45942,788,12961,11458,9432,7616,3687
"Viviendas particulares (015)",91452,1634,26189,22787,17799,15297,7746
"Hombres (016)",45644,846,13231,11374,8408,7714,4071
"Mujeres (017)",45808,788,12958,11413,9391,7583,3675
"Viviendas colectivas (018)",272,,5,84,91,72,20
"Hombres (019)",150,,2,46,51,43,8
"Mujeres (020)",122,,3,38,40,29,12
"Otro tipo (021)",74,,3,34,17,17,3
"Hombres (022)",62,,3,27,16,13,3
"Mujeres (023)",12,,,7,1,4,
,,,,,,,
"RURAL (024)",67895,1343,22545,15727,11727,10654,5899
"Hombres (025)",35095,665,11620,8392,5886,5456,3076
"Mujeres (026)",32800,678,10925,7335,5841,5198,2823
"Viviendas particulares (027)",67895,1343,22545,15727,11727,10654,5899
"Hombres (028)",35095,665,11620,8392,5886,5456,3076
"Mujeres (029)",32800,678,10925,7335,5841,5198,2823
