"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia FERREÑAFE (000)",35295,33424,10179,4310,4223,3522,4553,2895,1842,1900,1871,99324
"De 12 a 14 años (001)",3543,3509,3496,12,1,,,,,,34,14
"De 15 a 19 años (002)",4638,4507,3860,557,78,7,5,,,,131,754
"De 20 a 24 años (003)",3968,3451,1300,1182,666,211,80,12,,,517,3563
"De 25 a 29 años (004)",3565,3142,390,898,904,505,363,75,7,,423,6331
"De 30 a 34 años (005)",3355,3110,256,539,800,660,599,195,41,20,245,8548
"De 35 a 39 años (006)",3264,3108,190,339,632,652,770,326,144,55,156,10837
"De 40 a 44 años (007)",2826,2708,142,221,430,488,689,395,216,127,118,11333
"De 45 a 49 años (008)",2388,2315,141,160,264,373,582,365,240,190,73,10898
"De 50 y más años (009)",7748,7574,404,402,448,626,1465,1527,1194,1508,174,47046
"PEA (010)",7756,7023,1686,1161,1106,921,994,544,311,300,733,20036
"De 12 a 14 años (011)",147,142,141,1,,,,,,,5,1
"De 15 a 19 años (012)",585,572,497,65,9,,1,,,,13,87
"De 20 a 24 años (013)",931,749,390,189,106,48,15,1,,,182,614
"De 25 a 29 años (014)",1028,813,197,272,171,87,69,16,1,,215,1286
"De 30 a 34 años (015)",1038,904,136,201,221,149,139,38,16,4,134,2118
"De 35 a 39 años (016)",1057,983,96,151,215,215,189,73,34,10,74,2929
"De 40 a 44 años (017)",860,816,61,97,163,161,165,89,51,29,44,2953
"De 45 a 49 años (018)",704,670,54,77,102,130,142,74,45,46,34,2666
"De 50 y más años (019)",1406,1374,114,108,119,131,274,253,164,211,32,7382
"Ocupada (020)",7246,6604,1447,1086,1065,891,977,532,307,299,642,19588
"De 12 a 14 años (021)",133,128,127,1,,,,,,,5,1
