"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia MOYOBAMBA (000)",107082,19830,13567,4323,69556
"Quechua (001)",120,10,16,4,90
"Aymara (002)",61,8,12,12,35
"Asháninka (003)",22,9,3,3,10
"Otra lengua nativa (004)",1001,121,113,3,765
"Castellano (005)",105707,19654,13415,4296,68526
"Idioma Extranjero (006)",20,,2,4,14
"Es Sordomudo/a (007)",151,28,6,1,116
"Hombres (009)",55586,9687,6662,2316,37046
"Quechua (010)",63,4,12,2,45
"Aymara (011)",32,4,7,5,19
"Asháninka (012)",10,5,,1,5
"Otra lengua nativa (013)",524,61,52,2,409
"Castellano (014)",54857,9596,6588,2301,36493
"Idioma Extranjero (015)",11,,1,4,6
"Es Sordomudo/a (016)",89,17,2,1,69
"Mujeres (018)",51496,10143,6905,2007,32510
"Quechua (019)",57,6,4,2,45
"Aymara (020)",29,4,5,7,16
"Asháninka (021)",12,4,3,2,5
"Otra lengua nativa (022)",477,60,61,1,356
"Castellano (023)",50850,10058,6827,1995,32033
"Idioma Extranjero (024)",9,,1,,8
"Es Sordomudo/a (025)",62,11,4,,47
,,,,,
"URBANA (027)",64233,10945,12006,3471,37974
"Quechua (028)",68,5,15,4,44
"Aymara (029)",55,6,12,11,31
"Asháninka (030)",14,6,3,3,5
"Otra lengua nativa (031)",111,14,35,2,61
"Castellano (032)",63907,10905,11934,3447,37775
"Idioma Extranjero (033)",18,,2,4,12
"Es Sordomudo/a (034)",60,9,5,,46
"Hombres (036)",32325,5275,5828,1890,19436
"Quechua (037)",38,3,11,2,22
"Aymara (038)",29,3,7,4,17
"Asháninka (039)",5,3,,1,2
"Otra lengua nativa (040)",53,6,17,1,29
"Castellano (041)",32158,5254,5790,1878,19337
"Idioma Extranjero (042)",10,,1,4,5
"Es Sordomudo/a (043)",32,6,2,,24
"Mujeres (045)",31908,5670,6178,1581,18538
"Quechua (046)",30,2,4,2,22
"Aymara (047)",26,3,5,7,14
"Asháninka (048)",9,3,3,2,3
"Otra lengua nativa (049)",58,8,18,1,32
"Castellano (050)",31749,5651,6144,1569,18438
"Idioma Extranjero (051)",8,,1,,7
"Es Sordomudo/a (052)",28,3,3,,22
,,,,,
"RURAL (054)",42849,8885,1561,852,31582
"Quechua (055)",52,5,1,,46
"Aymara (056)",6,2,,1,4
"Asháninka (057)",8,3,,,5
"Otra lengua nativa (058)",890,107,78,1,704
"Castellano (059)",41800,8749,1481,849,30751
"Idioma Extranjero (060)",2,,,,2
"Es Sordomudo/a (061)",91,19,1,1,70
"Hombres (063)",23261,4412,834,426,17610
"Quechua (064)",25,1,1,,23
"Aymara (065)",3,1,,1,2
"Asháninka (066)",5,2,,,3
"Otra lengua nativa (067)",471,55,35,1,380
"Castellano (068)",22699,4342,798,423,17156
"Idioma Extranjero (069)",1,,,,1
"Es Sordomudo/a (070)",57,11,,1,45
"Mujeres (072)",19588,4473,727,426,13972
"Quechua (073)",27,4,,,23
"Aymara (074)",3,1,,,2
"Asháninka (075)",3,1,,,2
"Otra lengua nativa (076)",419,52,43,,324
"Castellano (077)",19101,4407,683,426,13595
"Idioma Extranjero (078)",1,,,,1
"Es Sordomudo/a (079)",34,8,1,,25
