"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia COTABAMBAS (000)",45009,1081,18379,8960,7426,6037,3126
"Casa independiente (001)",36197,840,14561,7176,6102,4915,2603
"Departamento en edificio (002)",22,,9,7,3,3,
"Vivienda en quinta (003)",15,,8,4,1,1,1
"Vivienda en casa de vecindad (004)",170,1,61,52,37,16,3
"Choza o cabaña (005)",8579,240,3738,1711,1276,1096,518
"Local no destinado para hab.humana (007)",17,,1,9,3,3,1
"Otro tipo (008)",9,,1,1,4,3,
,,,,,,,
"URBANA (009)",11590,258,4374,2613,2164,1473,708
"Casa independiente (010)",11367,257,4294,2545,2119,1449,703
"Departamento en edificio (011)",22,,9,7,3,3,
"Vivienda en quinta (012)",15,,8,4,1,1,1
"Vivienda en casa de vecindad (013)",170,1,61,52,37,16,3
"Local no destinado para hab.humana (016)",8,,1,4,,2,1
"Otro tipo (017)",8,,1,1,4,2,
,,,,,,,
"RURAL (018)",33419,823,14005,6347,5262,4564,2418
"Casa independiente (019)",24830,583,10267,4631,3983,3466,1900
"Choza o cabaña (023)",8579,240,3738,1711,1276,1096,518
"Local no destinado para hab.humana (025)",9,,,5,3,1,
"Otro tipo (026)",1,,,,,1,
