"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia REQUENA (000)",59125,6352,1839,29506,17794,1018,1483,427,706
"Quechua (001)",29,4,,8,11,,3,,3
"Aymara (002)",6,4,,,,1,,,1
"Ashaninca (003)",16,6,1,8,,,1,,
"Otra lengua nativa (004)",1449,304,64,671,370,11,,18,11
"Castellano (005)",57561,5999,1772,28798,17408,1006,1479,409,690
"Es sordomudo/a (007)",64,35,2,21,5,,,,1
"Hombres (009)",31118,2955,965,14826,10141,632,852,284,463
"Quechua (010)",19,2,,5,8,,2,,2
"Aymara (011)",2,,,,,1,,,1
"Ashaninca (012)",5,1,,4,,,,,
"Otra lengua nativa (013)",709,129,36,297,210,8,,18,11
"Castellano (014)",30352,2806,929,14509,9921,623,850,266,448
"Es sordomudo/a (016)",31,17,,11,2,,,,1
"Mujeres (018)",28007,3397,874,14680,7653,386,631,143,243
"Quechua (019)",10,2,,3,3,,1,,1
"Aymara (020)",4,4,,,,,,,
"Ashaninca (021)",11,5,1,4,,,1,,
"Otra lengua nativa (022)",740,175,28,374,160,3,,,
"Castellano (023)",27209,3193,843,14289,7487,383,629,143,242
"Es sordomudo/a (025)",33,18,2,10,3,,,,
,,,,,,,,,
"URBANA (027)",34187,3042,1081,14468,12506,887,1249,348,606
"Quechua (028)",16,1,,5,7,,2,,1
"Aymara (029)",3,1,,,,1,,,1
"Ashaninca (030)",7,3,1,2,,,1,,
"Otra lengua nativa (031)",129,24,4,45,52,,,2,2
"Castellano (032)",34001,2997,1074,14406,12445,886,1246,346,601
"Es sordomudo/a (034)",31,16,2,10,2,,,,1
"Hombres (036)",17688,1422,550,7062,6793,540,704,221,396
"Quechua (037)",12,1,,3,6,,2,,
"Aymara (038)",2,,,,,1,,,1
"Ashaninca (039)",1,,,1,,,,,
"Otra lengua nativa (040)",63,4,2,21,32,,,2,2
"Castellano (041)",17594,1406,548,7033,6755,539,702,219,392
"Es sordomudo/a (043)",16,11,,4,,,,,1
"Mujeres (045)",16499,1620,531,7406,5713,347,545,127,210
"Quechua (046)",4,,,2,1,,,,1
"Aymara (047)",1,1,,,,,,,
"Ashaninca (048)",6,3,1,1,,,1,,
"Otra lengua nativa (049)",66,20,2,24,20,,,,
"Castellano (050)",16407,1591,526,7373,5690,347,544,127,209
"Es sordomudo/a (052)",15,5,2,6,2,,,,
,,,,,,,,,
"RURAL (054)",24938,3310,758,15038,5288,131,234,79,100
"Quechua (055)",13,3,,3,4,,1,,2
"Aymara (056)",3,3,,,,,,,
"Ashaninca (057)",9,3,,6,,,,,
"Otra lengua nativa (058)",1320,280,60,626,318,11,,16,9
"Castellano (059)",23560,3002,698,14392,4963,120,233,63,89
"Es sordomudo/a (061)",33,19,,11,3,,,,
"Hombres (063)",13430,1533,415,7764,3348,92,148,63,67
"Quechua (064)",7,1,,2,2,,,,2
"Ashaninca (066)",4,1,,3,,,,,
"Otra lengua nativa (067)",646,125,34,276,178,8,,16,9
"Castellano (068)",12758,1400,381,7476,3166,84,148,47,56
"Es sordomudo/a (070)",15,6,,7,2,,,,
"Mujeres (072)",11508,1777,343,7274,1940,39,86,16,33
"Quechua (073)",6,2,,1,2,,1,,
"Aymara (074)",3,3,,,,,,,
"Ashaninca (075)",5,2,,3,,,,,
"Otra lengua nativa (076)",674,155,26,350,140,3,,,
"Castellano (077)",10802,1602,317,6916,1797,36,85,16,33
"Es sordomudo/a (079)",18,13,,4,1,,,,
